feature	ERR2508876	ERR2508877	ERR2508878	ERR2508879	ERR2508880	ERR2508881	ERR2508882	ERR2508883	ERR2508884	ERR2508885	ERR2508886	ERR2508887	ERR2508888	ERR2508889	ERR2508890	ERR2508891	ERR2508892	ERR2508893	ERR2508894	ERR2508895	ERR2508896	ERR2508897	ERR2508898	ERR2508899	ERR2508900	ERR2508901	ERR2508902	ERR2508903	ERR2508904	ERR2508905	ERR2508906	ERR2508907	ERR2508908	ERR2508909	ERR2508910	ERR2508911	ERR2508912	ERR2508913	ERR2508914	ERR2508915	ERR2508916	ERR2508917	ERR2508918	ERR2508919	ERR2508920	ERR2508921	ERR2508922	ERR2508923	ERR2508924	ERR2508925	ERR2508926	ERR2508927	ERR2508928	ERR2508929	ERR2508930	ERR2508931	ERR2508932	ERR2508933	ERR2508934	ERR2508935	ERR2508936	ERR2508937	ERR2508938	ERR2508939	ERR2508940	ERR2508941	ERR2508942	ERR2508943	ERR2508944	ERR2508945	ERR2508946	ERR2508947	ERR2508948	ERR2508949	ERR2508950	ERR2508951	ERR2508952	ERR2508953	ERR2508954	ERR2508955	ERR2508956	ERR2508957	ERR2508958	ERR2508959	ERR2508960	ERR2508961	ERR2508962	ERR2508963	ERR2508964	ERR2508965	ERR2508966	ERR2508967	ERR2508968	ERR2508969	ERR2508970	ERR2508971	ERR2508972
ko:K09778	64.48741	59.86942	56.18571	29.35438	8.28226	4.7667	5.1511	7.07522	2.8843	3.51665	7.12562	3.63432	3.9403	4.954	3.63259	6.63953	0.83649	15.09429	17.65232	16.25242	13.64574	1.0189	2.41957	3.57246	4.0836	4.69002	0.42034	1.55498	NA	2.31673	3.55802	5.39596	3.78716	0.76595	NA	0.92964	NA	NA	NA	NA	2.12221	0.19784	0.51129	0.50001	4.77534	8.83114	7.84475	3.31377	15.37761	15.62988	14.6737	13.04329	NA	1.1633	0.52756	2.32844	2.39395	0.51239	7.45662	4.54049	2.07133	6.87648	1.5275	24.2648	28.1693	30.16979	19.85933	34.3659	28.9423	31.24841	18.44459	15.37653	15.74948	17.35729	0.73636	5.09301	1.49528	1.44872	0.68541	NA	0.74679	3.36646	NA	2.32933	3.27171	NA	5.97758	5.83379	3.01119	4.04583	19.99463	23.01406	12.57264	2.61705	11.03394	12.01496	0.70934
ko:K09779	151.87289	153.33521	143.30665	81.48755	132.07964	128.94125	134.60563	124.08226	57.54196	93.51466	77.20113	66.9194	89.33397	238.88308	194.44078	256.23941	141.29992	195.88648	211.92771	189.57053	212.01811	18.11977	144.45237	148.17264	77.44824	172.60414	174.35965	167.20433	152.6252	109.81411	107.43388	105.36215	96.53228	183.76996	183.09136	218.01485	132.28315	62.13085	73.99305	21.64937	64.97297	74.07435	55.3574	60.55468	173.04908	161.11032	165.81327	152.58241	171.8721	171.11084	157.8331	178.76039	NA	210.27268	200.70685	232.33006	186.45508	58.70811	263.43536	233.11276	238.26353	258.42967	76.95623	244.41663	242.06234	263.56119	161.47395	251.4789	194.34406	262.28149	166.88547	285.93178	293.42997	262.59686	242.98491	232.46189	236.69838	229.70015	116.42303	122.73743	113.81735	120.0922	66.52604	69.33305	75.84988	28.91001	173.55834	176.71059	160.06968	89.03093	181.04529	154.05199	156.95381	24.74286	89.75007	88.93684	23.22283
ko:K09780	3.11282	2.93245	3.35948	2.42485	10.71309	6.16965	6.54765	5.93786	3.48609	3.7627	1.88612	0.83457	1.17676	1.76545	1.96809	1.49655	4.52057	6.96205	4.18702	3.63116	2.96204	2.22198	2.51075	4.02603	2.19178	5.92574	8.94921	5.63213	9.40073	1.86236	4.18906	6.3884	3.45132	3.7197	6.61604	8.17126	2.31428	3.82173	3.32236	1.09179	5.44654	6.67197	6.30263	2.52189	7.06127	2.92494	7.41492	3.71867	3.33735	5.31657	2.46187	4.84717	0.04427	3.86747	2.39056	1.47779	2.88022	0.5188	4.9776	3.15913	4.1243	2.24749	0.8358	NA	NA	NA	NA	NA	NA	1.33077	NA	0.97082	1.92846	1.56641	1.55739	0.81057	4.93183	1.01456	0.4194	0.5161	1.43221	2.39124	1.09593	0.2115	0.0968	0.0524	0.67505	2.03895	2.15468	0.7242	3.3706	2.6665	2.27193	1.27463	2.09015	2.02222	0.75252
ko:K09781	NA	NA	0.19661	NA	0.1967	NA	0.77658	NA	0.19516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.26716	0.35775	NA	0.51788	NA	5.03087	0.79547	4.0477	2.26809	1.64038	NA	3.68516	1.63744	0.18925	NA	0.16231	0.9167	1.15199	4.41124	2.96243	NA	0.21289	NA	NA	NA	NA	0.20578	NA	NA	0.41556	0.47726	3.2067	1.75367	NA	NA	NA	NA	NA	NA	0.36397	NA	NA	NA	NA	0.85949	NA	NA	0.7888	NA	NA	NA	0.41377	1.23521	1.23062	NA	4.84531	4.64983	2.35552	4.00582	0.01905	NA	NA	NA	NA	NA	NA	NA	NA	0.48403	0.50041	0.32545	NA	NA
ko:K09786	1.45945	1.44443	3.09658	0.75011	1.88615	0.38513	1.10864	2.7588	NA	NA	NA	NA	NA	0.87043	0.41102	0.27856	2.10914	0.22608	0.52314	0.44273	0.75359	NA	NA	NA	NA	NA	0.30543	0.72632	NA	6.90388	8.77851	4.86187	6.20689	8.60476	5.46955	6.10513	2.02597	0.70211	0.37999	NA	1.22943	0.99064	2.26376	1.50259	NA	0.43405	NA	NA	NA	NA	NA	NA	NA	0.65802	0.56389	NA	NA	0.38364	NA	NA	4.54655	0.43626	0.1001	0.30837	NA	0.10418	NA	NA	0.08936	1.13629	0.97241	0.43599	1.33398	NA	0.7688	3.22762	2.16991	1.73817	2.16049	1.73322	0.73155	1.52264	0.43407	NA	0.71075	NA	NA	0.93572	NA	0.12262	0.10478	NA	NA	NA	1.79675	1.44673	NA
ko:K09787	167.54642	190.28286	152.73587	83.06918	229.51247	235.34635	250.53378	258.80566	105.65993	176.4479	167.82756	190.54904	146.3279	368.22234	426.25082	403.1371	313.63149	250.08951	256.14091	238.02612	259.67325	25.74809	279.68382	283.32079	152.84723	301.70708	395.99627	426.58964	347.61095	186.79919	197.93072	192.35575	190.50003	347.58	347.33003	301.70914	233.65111	119.49492	90.84855	25.33039	132.51369	132.22801	122.39502	64.5729	333.60295	312.29809	291.22397	192.13402	266.09626	268.30295	254.16524	219.32194	2.06133	298.22091	302.55711	319.44715	271.33564	111.82772	255.45809	228.40295	259.30881	189.53062	67.86219	325.53949	334.45533	307.39946	238.45261	350.99622	393.45536	358.83738	291.68499	397.00401	473.21001	360.34034	430.56395	412.39177	445.57694	399.45367	174.20684	180.99253	186.90608	148.12234	95.22597	95.64523	103.53922	33.04928	391.97284	312.6675	382.5201	132.89099	222.97582	265.70429	232.87383	51.85347	150.04452	163.35351	38.287
ko:K09789	514.31642	538.25034	501.65923	255.67579	536.8545	504.30521	505.38623	476.99672	246.98017	595.39435	553.57214	572.93644	536.66838	254.01663	287.84301	263.62064	172.20627	328.8061	352.02758	340.3431	341.55978	38.18301	332.82323	324.25924	202.69553	382.98184	556.97182	544.2337	530.80918	633.89513	599.2502	585.41617	556.95951	488.41404	500.50773	460.2358	348.82252	619.99815	616.88252	240.64497	685.41604	711.01215	714.67688	479.48735	397.92127	318.29115	325.19243	273.12489	340.70022	357.05742	377.69461	368.72709	1.85919	366.68854	342.57826	354.9028	354.97811	100.20499	500.61304	420.79823	480.28159	449.76004	142.31247	292.97915	272.29996	259.65554	168.40176	219.48779	207.33485	204.02591	160.19661	200.29539	248.24877	168.44299	228.69099	234.19709	273.38898	230.77783	147.05461	430.71402	410.66039	452.42088	221.04594	469.23055	458.31047	116.15488	357.17766	303.1171	364.60481	137.62429	438.02171	463.72038	450.71851	93.1632	590.06693	634.22207	118.29258
ko:K09790	280.21063	292.06593	289.16691	150.09075	325.1906	342.16591	304.20208	331.88509	191.46014	349.20504	329.97188	316.1048	295.85764	286.43773	310.1946	283.82281	222.07033	251.20869	225.32818	246.11479	208.63142	35.76318	176.07439	202.45022	118.61882	210.39386	281.13286	239.47775	233.06337	360.1153	336.48716	344.45704	319.04229	302.09306	324.80578	318.2259	231.17131	355.74765	378.70795	111.09939	447.42447	404.0873	433.14644	279.67041	223.38156	192.41244	195.02985	148.28387	232.42087	245.85068	241.6292	213.09344	2.30215	201.01642	187.54182	174.69462	176.93431	60.51138	199.27079	181.63413	215.37596	191.55368	56.11344	178.21079	154.29128	194.30044	119.66678	158.5699	141.34307	143.83718	92.98305	239.28359	225.76249	206.20169	254.33039	243.70259	242.64698	238.58427	131.60028	238.31974	207.10931	215.85647	130.53862	228.24468	248.21228	68.72806	194.69449	212.256	218.55183	99.48475	282.04365	299.29007	243.87523	67.84661	335.58762	321.20341	81.69664
ko:K09791	0.26421	1.39462	0.17397	NA	1.72525	NA	1.7312	NA	NA	NA	NA	NA	NA	3.12134	3.61639	1.53299	8.02372	2.64156	4.84272	9.19932	1.6872	0.78281	0.8084	9.5465	0.77639	22.01649	6.40715	9.43994	10.49162	4.44094	0.19285	0.3185	1.74762	1.93197	2.0656	1.73961	0.19398	1.19913	6.13755	1.30198	2.02266	0.26521	NA	4.84252	3.10747	2.42694	0.70585	2.13163	8.77372	5.1379	4.91943	3.70061	NA	8.21469	4.48912	10.06381	5.44309	1.48552	3.85342	8.16022	1.49171	8.3197	0.6512	2.98737	5.09533	NA	6.5602	11.03997	1.97954	8.40403	1.97593	1.73771	2.28999	2.3248	6.99472	NA	0.75653	NA	0.28484	2.35183	4.57228	2.03131	NA	0.19446	0.80062	NA	1.5479	0.73064	1.60627	0.69813	NA	NA	NA	NA	0.68872	1.36698	NA
ko:K09792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0808	0.54039	NA	0.54193	0.53465	3.78021	0.53496	1.09365	2.20732	NA	1.6204	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.48646	NA	0.7806	0.76491	NA	0.61684	0.96696	1.39745	1.49481	0.3602	1.76267	1.85349	2.17136	1.25675	0.61054	0.9533	1.13111	0.19329	0.4393	0.2042	NA	NA	NA	0.35386	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13826	0.22387	NA	0.75556	0.5184	0.38006	0.37063	NA	NA	NA	NA
