Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,SRA Study
SRR34844395,AMPLICON,570,11296260,PRJNA1300638,SAMN50421342,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",6863846,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976432,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103100-3-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,4wk-Treatment_103100,2025-08-02T05:07:00Z,1,103100-3-1,SRP605981
SRR34844396,AMPLICON,570,17556000,PRJNA1300638,SAMN50421341,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10426101,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976431,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103100-2-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,2wk-Treatment_103100,2025-08-02T05:07:00Z,1,103100-2-1,SRP605981
SRR34844397,AMPLICON,570,22045320,PRJNA1300638,SAMN50421340,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",12956464,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976430,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103100-1-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,before-Treatment_103100,2025-08-02T05:07:00Z,1,103100-1-1,SRP605981
SRR34844398,AMPLICON,570,16390350,PRJNA1300638,SAMN50421339,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9738276,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976429,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103098-3-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,4wk-Treatment_103098,2025-08-02T05:07:00Z,1,103098-3-1,SRP605981
SRR34844399,AMPLICON,570,15968550,PRJNA1300638,SAMN50421338,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9382563,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976428,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103098-2-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,2wk-Treatment_103098,2025-08-02T05:07:00Z,1,103098-2-1,SRP605981
SRR34844400,AMPLICON,570,20054880,PRJNA1300638,SAMN50421337,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",11762326,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976427,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103098-1-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,before-Treatment_103098,2025-08-02T05:07:00Z,1,103098-1-1,SRP605981
SRR34844401,AMPLICON,570,16224480,PRJNA1300638,SAMN50421336,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9460465,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976426,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103094-3-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,4wk-Placebo_103094,2025-08-02T05:07:00Z,1,103094-3-1,SRP605981
SRR34844402,AMPLICON,570,18692010,PRJNA1300638,SAMN50421335,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10765120,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976425,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103094-2-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,2wk-Placebo_103094,2025-08-02T05:07:00Z,1,103094-2-1,SRP605981
SRR34844403,AMPLICON,570,18329490,PRJNA1300638,SAMN50421334,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",10767170,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976424,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103094-1-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,before-Placebo_103094,2025-08-02T05:07:00Z,1,103094-1-1,SRP605981
SRR34844404,AMPLICON,570,19324710,PRJNA1300638,SAMN50421333,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",11415878,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976423,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103092-3-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,4wk-Placebo_103092,2025-08-02T05:07:00Z,1,103092-3-1,SRP605981
SRR34844405,AMPLICON,570,19170240,PRJNA1300638,SAMN50421108,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",11182503,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976422,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,102607-3-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,4wk-Treatment_102607,2025-08-02T05:08:00Z,1,102607-3-1,SRP605981
SRR34844406,AMPLICON,570,15812370,PRJNA1300638,SAMN50421282,"MIMS.me,MIGS/MIMS/MIMARKS.human-gut",9431471,SETSUNAN UNIVERSITY,not applicable,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",not applicable,not applicable,not applicable,SRX29976421,uncalculated,uncalculated,not applicable,not applicable,Illumina MiSeq,not applicable,103021-3-1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-10-01T00:00:00Z,4wk-Placebo_103021,2025-08-02T05:07:00Z,1,103021-3-1,SRP605981
