Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,SRA Study
DRR412443,AMPLICON,601,14330376,PRJDB14539,SAMD00548485,MIMARKS.survey.human-gut,8390067,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398044,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:06:00Z,1,SAMD00548485,C_06_4w,DRP009232
DRR412444,AMPLICON,601,10514954,PRJDB14539,SAMD00548486,MIMARKS.survey.human-gut,6212682,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398045,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:08:00Z,1,SAMD00548486,C_07_0w,DRP009232
DRR412445,AMPLICON,601,10730118,PRJDB14539,SAMD00548487,MIMARKS.survey.human-gut,6277236,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398046,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:07:00Z,1,SAMD00548487,C_07_4w,DRP009232
DRR412446,AMPLICON,601,11341541,PRJDB14539,SAMD00548488,MIMARKS.survey.human-gut,6646501,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398047,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:09:00Z,1,SAMD00548488,C_08_0w,DRP009232
DRR412447,AMPLICON,601,11503809,PRJDB14539,SAMD00548489,MIMARKS.survey.human-gut,6719410,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398048,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:07:00Z,1,SAMD00548489,C_08_4w,DRP009232
DRR412448,AMPLICON,601,10995563,PRJDB14539,SAMD00548490,MIMARKS.survey.human-gut,6452972,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398049,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:08:00Z,1,SAMD00548490,T_09_0w,DRP009232
DRR412449,AMPLICON,601,11338778,PRJDB14539,SAMD00548491,MIMARKS.survey.human-gut,6620457,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398050,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:11:00Z,1,SAMD00548491,T_09_4w,DRP009232
DRR412450,AMPLICON,601,11084734,PRJDB14539,SAMD00548492,MIMARKS.survey.human-gut,6435410,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398051,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:09:00Z,1,SAMD00548492,T_10_0w,DRP009232
DRR412451,AMPLICON,601,12522124,PRJDB14539,SAMD00548493,MIMARKS.survey.human-gut,7268279,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398052,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:10:00Z,1,SAMD00548493,T_10_4w,DRP009232
DRR412452,AMPLICON,601,11297494,PRJDB14539,SAMD00548494,MIMARKS.survey.human-gut,6586710,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398053,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:11:00Z,1,SAMD00548494,T_11_0w,DRP009232
DRR412453,AMPLICON,601,11378419,PRJDB14539,SAMD00548495,MIMARKS.survey.human-gut,6611171,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398054,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:07:00Z,1,SAMD00548495,T_11_4w,DRP009232
DRR412454,AMPLICON,601,11417760,PRJDB14539,SAMD00548496,MIMARKS.survey.human-gut,6672543,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398055,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:10:00Z,1,SAMD00548496,C_12_0w,DRP009232
DRR412455,AMPLICON,601,11019377,PRJDB14539,SAMD00548497,MIMARKS.survey.human-gut,6434452,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398056,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:10:00Z,1,SAMD00548497,C_12_4w,DRP009232
DRR412456,AMPLICON,601,14373565,PRJDB14539,SAMD00548498,MIMARKS.survey.human-gut,8197013,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398057,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:08:00Z,1,SAMD00548498,C_13_0w,DRP009232
DRR412457,AMPLICON,601,11782912,PRJDB14539,SAMD00548499,MIMARKS.survey.human-gut,6793736,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398058,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:09:00Z,1,SAMD00548499,C_13_4w,DRP009232
DRR412458,AMPLICON,601,11293070,PRJDB14539,SAMD00548500,MIMARKS.survey.human-gut,6613171,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398059,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:09:00Z,1,SAMD00548500,T_14_0w,DRP009232
DRR412459,AMPLICON,601,11352525,PRJDB14539,SAMD00548501,MIMARKS.survey.human-gut,6690365,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398060,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:11:00Z,1,SAMD00548501,T_14_4w,DRP009232
DRR412460,AMPLICON,601,12141321,PRJDB14539,SAMD00548502,MIMARKS.survey.human-gut,7086871,METAGEN,2022-10-07,public,"run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",host-associated,mammalia-associated habitat,feces,DRX398061,Japan,Asia,Japan,Homo sapiens,Illumina MiSeq,missing,,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2022-11-16T00:00:00Z,2022-11-16T13:11:00Z,1,SAMD00548502,T_15_0w,DRP009232
