feature	AB01_02	AB01_04	AB01_12	AB02_00	AB02_02	AB02_04	AB02_12	AB03_00	AB03_02	AB03_04	AB03_12	AB04_00	AB04_02	AB04_04	AB04_12	AB05_00	AB05_02	AB05_04	AB05_12	AB06_00	AB06_02	AB06_04	AB06_12	AB07_00	AB07_02	AB07_04	AB07_12	AB09_00	AB09_02	AB09_04	AB09_12	AB10_00	AB10_02	AB10_04	AB10_12	AB11_00	AB11_02	AB11_04	AB11_12	AB12_00	AB12_02	AB12_04	AB12_12	AB13_00	AB13_02	AB13_04	AB13_12	AB14_00	AB14_02	AB14_04	AB14_12	AB15_00	AB15_02	AB15_04	AB15_12	AB17_00	AB17_02	AB17_04	AB17_12	AB19_00	AB19_02	AB19_04	AB19_12	AB20_00	AB20_02	AB20_04	AB20_12	AB21_00	AB21_02	AB21_04	AB21_12	AB22_00	AB22_02	AB22_04	AB22_12	AB23_00	AB23_02	AB23_04	AB23_12	AB24_00	AB24_02	AB24_04	AB24_12	AB25_00	AB25_02	AB25_04	AB25_12	AB26_00	AB26_02	AB26_04	AB27_00	AB27_02	AB27_04	AB27_12	AB28_00	AB28_02	AB28_04	AB28_12	AB30_00	AB30_02	AB30_04	AB30_12	AB31_00	AB31_04	AB31_12	AB32_00	AB32_02	AB33_00	AB33_02	AB34_00	AB34_02	AB34_04	AB34_12	AB35_00	AB35_02	AB35_04	AB35_12	AB36_00	AB36_02	AB36_04	AB36_12	AB37_00	AB37_02	AB37_04	AB37_12	AB38_00	AB38_02	AB38_04	AB38_12	AB39_00	AB39_02	AB39_04	AB39_12	AB40_00	AB40_02	AB40_04	AB40_12	AB41_00	AB41_02	AB41_04	AB41_12	AB43_00	AB43_02	AB43_04	AB43_12	AB45_00	AB45_02	AB45_04	AB45_12	AB46_00	AB46_02	AB46_04	AB46_12	AB47_00	AB47_02	AB47_12
CBM68	NA	0.3709	0.36637	NA	NA	0.36132	NA	NA	NA	NA	NA	0.40057	1.35879	0.70935	0.16901	0.64434	1.5091	0.58897	1.12902	NA	0.70935	NA	0.57761	NA	0.164	NA	0.72458	0.74204	1.36924	0.29221	0.55416	0.20267	NA	0.66086	0.14229	NA	0.59839	0.17917	NA	1.93934	2.40841	0.35065	1.62175	1.66698	0.84741	0.22434	1.72111	0.27295	NA	NA	0.91589	NA	NA	NA	NA	NA	NA	NA	NA	0.66299	0.23063	1.33208	NA	0.18262	0.23228	NA	0.26395	0.38197	0.62551	0.46099	NA	NA	0.17959	0.19367	NA	0.95283	0.78206	NA	NA	NA	0.45938	1.64866	0.84632	0.51551	1.59582	0.37054	0.1857	0.2942	NA	0.34368	0.16134	0.51945	0.22782	NA	NA	0.32091	NA	NA	NA	NA	NA	NA	NA	1.35407	0.40457	4.3263	0.52792	NA	NA	NA	0.18124	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0922	0.67404	0.15664	NA	0.94349	1.70636	NA	NA	0.24478	1.35543	0.10126	NA	0.52969	0.38054	0.26742	1.26939	NA	NA	NA	0.63958	0.90719	NA	NA	0.70527	0.2957	NA	NA	0.13966	NA	NA	0.51749	2.00764	NA	NA	NA
CBM69	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.52635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.52429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.13553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.10984	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CBM70	NA	NA	NA	NA	NA	NA	NA	0.13164	NA	NA	NA	NA	NA	NA	0.20507	0.2894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.26281	NA	NA	NA	NA	0.11398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.04673	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0925	NA	NA	NA	NA	NA	NA	0.24058	0.10357	0.22373	NA	NA	NA	NA	0.72907	NA	NA	NA	NA	0.11235	NA	NA	NA	NA	NA	NA	NA	NA	0.22884	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.17603	NA	NA
CBM71	0.36408	0.61266	1.04787	0.55985	2.6238	0.46677	0.80486	0.5063	1.2579	1.4173	0.25399	0.11216	0.17142	0.09897	0.82177	2.35453	1.45912	1.68504	1.8261	2.73181	0.91767	4.52264	0.82281	1.57765	0.67125	0.81554	0.38772	0.65542	1.24004	0.06893	0.51855	1.09536	0.85448	0.36157	0.72279	0.73091	3.99901	0.30902	0.1941	1.57592	1.0053	0.48579	0.80102	1.32233	0.94859	0.48474	0.30179	1.15385	2.0798	1.48021	4.13206	0.09356	0.89388	0.97158	NA	0.40485	0.1565	0.1031	0.88396	NA	NA	NA	0.22234	1.31116	0.90186	1.70048	0.40873	2.6649	2.77971	0.41817	1.35253	0.65467	0.30124	1.56011	0.12527	2.09206	NA	0.34989	1.18212	0.47692	1.19705	4.22658	0.65319	0.14571	0.39962	0.32109	0.52659	1.73488	1.1874	4.26713	1.40803	1.43387	2.03751	0.33736	0.33438	0.56639	3.64658	1.48129	0.11311	1.60323	0.53351	3.70464	0.38397	0.52056	NA	1.98662	3.30343	2.0711	0.41808	3.71751	1.59605	1.40677	0.35446	3.25828	2.86854	2.02458	1.35554	0.85529	0.58974	0.24027	1.6743	0.38578	0.25838	0.0731	0.34714	1.26984	0.94551	0.60243	0.25559	6.34893	0.09036	0.64587	0.66553	NA	0.91307	0.40894	0.76933	0.62838	2.38692	0.19332	2.65267	0.21978	NA	NA	0.16126	0.21856	NA	NA	0.14277	0.49585	0.28061	0.28112	NA	NA	NA	1.02707
CBM73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.2939	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.30519	NA	0.3417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.46193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CBM74	32.17437	45.50691	8.72835	12.03288	11.79998	7.76545	63.28422	46.89482	35.08024	42.66461	62.63695	0.03085	0.0688	NA	NA	39.00986	41.17903	24.0657	27.8978	29.37873	33.8475	23.89704	14.0762	91.94742	34.92755	33.59096	31.5644	32.85136	90.58992	42.4269	10.26452	55.45173	27.15959	44.51678	56.89161	18.68998	14.9948	1.53129	12.69715	105.02518	47.96556	94.48252	69.0665	57.63856	46.72977	49.30496	43.3306	6.85969	17.44382	15.87082	43.95356	43.23598	19.28353	15.53587	31.48812	26.90253	26.78295	32.12024	22.17741	11.29952	19.57876	18.50825	17.64107	46.62565	11.93636	21.62335	2.25824	72.48609	71.92891	117.74132	57.07456	34.061	68.12666	57.84862	51.77895	26.71394	7.52251	64.26543	8.33287	77.16728	38.98486	70.70367	60.6093	47.92274	45.44351	60.78762	37.27566	37.1885	80.18106	1.12082	32.53348	38.79786	44.86429	52.92242	47.99895	34.67496	54.57283	55.37455	31.25272	34.08947	57.88971	46.09934	5.0957	35.72252	12.98307	64.27275	68.71385	41.5697	21.88047	117.5423	75.84652	191.82514	94.97761	95.55111	120.9432	57.04553	69.03654	36.66756	57.08243	49.12853	55.98096	34.81479	46.11892	55.0576	34.93038	17.18897	31.65882	22.53172	26.84879	24.73211	15.3851	NA	NA	45.69504	25.72989	29.12376	60.20548	16.7473	55.16578	49.21738	31.34082	62.26494	64.44302	91.85449	80.74288	30.40188	33.57964	36.5182	34.1976	28.36491	88.83311	34.1103	30.3259	56.13179	31.69205	30.92159
CBM75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.65973	1.96312	NA	1.25918	NA	NA	NA
CBM76	4.07899	0.98703	1.40554	NA	NA	NA	NA	NA	0.10215	NA	0.4629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.9942	1.56289	2.63789	2.09104	NA	NA	0.52117	NA	NA	NA	NA	NA	4.80082	7.71174	10.80259	9.73526	5.52394	7.33796	1.79882	7.17203	NA	NA	NA	NA	NA	NA	NA	NA	2.37433	4.66045	1.44662	1.92157	NA	NA	NA	NA	1.95647	NA	0.39831	1.829	NA	NA	NA	NA	NA	5.76666	5.25294	11.29071	0.66313	0.32255	1.75833	1.78841	0.18846	1.16937	1.58528	0.647	NA	NA	NA	NA	NA	0.27763	0.31984	0.11022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.0402	2.267	3.61587	4.09325	2.67771	0.64709	2.07674	NA	NA	NA	NA	NA	NA	NA	NA	2.97907	0.73668	3.23633	1.62139	1.86526	2.40176	NA	1.69215	4.37219	8.68824	4.76414	0.53176	NA	NA	NA	NA	4.04933	2.81182	2.76853	2.20047	1.07896	1.65539	1.23761	0.65578	6.0197	5.6737	7.06416	3.17973	NA	NA	NA	NA	NA	0.11272	0.90571	0.29297	0.17204	NA	1.36535
CBM77	42.01389	17.26922	29.86689	7.34064	2.9205	1.7019	11.6098	5.24793	6.76291	4.43146	4.47396	25.06176	40.07745	12.27352	3.69797	4.28311	1.13728	6.11741	6.00311	NA	NA	0.20773	8.49419	0.67111	0.45265	1.6872	2.57949	21.71262	0.4466	0.90968	7.38912	3.24915	5.37038	4.83951	0.13212	39.56837	8.75279	6.815	19.33811	0.26437	10.34059	1.30948	3.39423	1.83573	9.50169	10.39836	12.37495	53.04862	25.16385	34.37262	8.59233	2.85159	5.20735	0.3176	1.40629	5.94734	6.54795	3.87419	9.34622	7.83467	6.58191	15.96872	12.79641	22.39629	9.05904	13.1395	9.69609	25.30572	5.18626	3.11833	15.67229	0.29374	NA	NA	NA	9.72515	7.27023	19.13548	3.41786	12.64489	2.95837	2.51074	20.29786	4.12699	1.00429	1.50495	3.04296	NA	NA	NA	5.17636	1.50792	2.18618	1.53078	NA	NA	NA	0.51886	0.65415	NA	1.04026	3.44163	0.43174	2.09991	6.5066	6.14241	0.73532	1.68292	5.95157	1.24562	1.75377	0.82619	NA	9.40695	6.89425	16.79406	16.22552	13.71897	3.27149	5.62851	1.50454	4.3457	1.28004	1.57272	3.17392	12.15261	12.76325	7.46469	17.7764	0.21758	NA	NA	0.3761	1.93067	0.84385	NA	5.74437	3.88161	2.61339	3.60818	10.5371	14.39098	3.20315	4.98117	5.19042	33.17411	18.28737	33.4951	20.688	1.6758	5.18216	14.65392	4.0852	9.9222	0.46978	4.83029
CBM78	5.49743	1.41496	1.76649	NA	NA	NA	NA	2.53134	2.63288	1.29481	1.42345	NA	NA	NA	NA	1.79225	1.59272	2.97379	2.9716	NA	NA	NA	NA	1.71247	2.11413	1.38317	2.43101	NA	NA	1.76285	2.89346	5.96038	6.1616	2.95762	4.56366	5.9998	4.31622	12.96327	9.85062	5.62756	6.23747	1.9832	5.69362	NA	NA	NA	NA	NA	NA	NA	NA	2.95189	4.48437	2.00635	4.59978	9.18097	3.84844	7.1519	7.43259	0.48903	0.17202	0.3312	1.7558	11.44689	8.43443	8.31276	7.54536	12.78233	5.05652	6.89414	9.98827	1.16124	1.97692	2.58644	1.31534	0.7067	1.45834	1.16451	1.41068	NA	NA	NA	NA	0.38875	0.2468	0.67914	0.70019	NA	NA	NA	4.70808	2.16318	2.32672	0.74843	NA	NA	NA	NA	NA	NA	NA	NA	3.00515	2.20384	4.35919	2.84734	5.1191	0.26401	1.74785	NA	NA	NA	NA	4.16656	4.00517	3.83037	2.28881	1.73268	0.26741	2.90644	0.66686	2.26966	2.28733	NA	1.61453	2.10181	4.03435	3.72614	1.21793	NA	NA	NA	NA	5.03174	2.21633	2.11826	1.54781	1.19927	2.9581	2.47196	1.05541	3.8903	7.00807	6.2019	3.57708	4.16241	4.51726	2.34799	2.2468	0.53204	0.28902	2.16113	NA	NA	NA	0.3553
CBM79	31.55615	2.96732	14.52297	NA	NA	NA	NA	7.59737	11.94535	2.52416	17.76993	NA	NA	NA	NA	9.33951	9.19907	9.84084	10.20154	NA	NA	NA	NA	13.04811	19.90176	18.13541	25.53842	NA	NA	8.52341	12.34802	10.3106	14.27777	14.32499	10.00349	23.51953	31.98607	63.24019	42.33352	25.44436	29.44233	9.20241	25.82062	NA	NA	0.74246	NA	14.07069	15.02851	9.44092	0.41122	14.80556	29.78146	20.15875	36.90221	15.02058	7.1859	7.47811	14.91436	4.74076	NA	2.49661	9.9274	63.62413	39.10375	50.41555	48.92407	57.25569	26.21659	28.63814	40.49533	3.84554	9.21943	7.14844	7.74223	4.97665	7.25485	6.30412	5.11335	NA	NA	NA	NA	0.59213	1.65509	1.58869	1.96523	NA	NA	NA	10.86065	4.30771	14.35387	1.3332	NA	NA	NA	NA	NA	NA	NA	NA	15.93987	10.15071	16.86541	10.75447	19.16157	1.59123	15.53353	NA	NA	NA	NA	17.73304	18.67779	16.45038	18.70459	17.97972	8.37556	27.42506	6.17423	12.31798	11.66005	NA	10.02379	11.3478	19.23378	16.39953	1.39986	NA	NA	NA	NA	14.66992	9.2018	17.10788	11.68005	3.32169	8.77158	2.23862	4.3511	19.94994	37.07723	25.64968	13.78206	11.92745	13.12935	13.32428	8.25473	2.35727	12.88508	5.86065	5.22701	1.68197	0.70567	11.69375
CBM80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.62895	1.93497	0.57492	3.34565	NA	NA	NA
CBM82	1.80345	11.22139	4.22183	12.6789	1.78047	3.57074	26.66798	62.60174	42.15059	66.50073	4.5779	4.48449	1.67423	8.37974	1.24962	22.7938	25.16492	12.65298	16.2034	59.94267	65.05837	97.06338	49.5527	0.20002	0.70633	NA	NA	43.08026	43.32518	82.33458	25.00696	NA	NA	0.12323	0.31839	2.66343	13.1971	18.18648	25.75199	19.40379	13.73331	1.43638	17.39461	NA	NA	NA	NA	2.54295	9.37576	1.99329	0.4928	84.05796	66.04305	36.19043	15.31063	23.79519	9.96675	1.28342	36.96383	6.31241	16.03001	24.46294	18.86164	0.40501	14.69992	2.88749	27.54553	1.60115	2.43011	0.84109	1.35659	74.36904	45.29952	67.78085	37.17827	12.54854	27.13993	20.21373	13.33709	5.87977	3.25886	0.40863	4.84488	2.19883	0.23324	1.89834	1.10392	29.59417	39.66878	0.76976	36.01639	36.6962	33.16244	10.67049	NA	NA	NA	NA	39.65935	12.3126	4.00225	16.62908	5.55695	18.91152	7.5427	3.83461	5.91917	0.67683	0.96613	NA	NA	NA	NA	22.5909	19.27384	30.74292	33.42466	25.24383	9.68766	22.66773	7.00931	54.29707	34.125	42.97991	53.9213	1.68485	10.90898	5.77178	5.74091	NA	NA	NA	NA	0.39839	0.94203	2.14618	8.60947	NA	2.18348	1.0848	0.83183	40.9993	42.73687	24.22759	25.60811	0.30739	NA	1.98381	2.8444	NA	NA	NA	0.49568	0.97572	1.17567	7.57341
CBM83	1.20225	14.38395	3.15023	16.59394	3.57853	7.06528	42.04764	74.42837	48.50471	86.31213	3.0731	8.32193	3.55579	4.89992	3.34314	15.52261	14.35075	7.31773	21.48165	59.6505	77.78618	109.52113	62.73481	1.88766	3.40655	2.18759	4.85277	50.18484	45.20697	91.73254	28.46543	1.20228	3.03111	1.2933	1.39226	4.54875	11.18781	17.41845	25.68349	25.73548	14.37452	1.93273	18.4977	3.05812	3.01775	5.4879	13.45329	4.72076	11.09966	3.95495	3.2993	75.09806	64.12563	41.44629	23.59551	35.28793	10.88042	2.42994	41.68123	12.15849	25.07722	27.23349	20.52061	4.74761	12.64255	9.69472	43.61331	9.71471	11.86748	2.21609	8.82102	82.68785	41.93207	77.53611	48.55764	22.72065	30.94066	23.64542	19.17392	12.05435	34.95877	12.85996	7.34852	0.86428	0.62366	2.33731	5.19971	30.54893	39.22727	0.16899	33.15528	36.36628	35.58231	17.24396	NA	NA	NA	NA	37.86344	15.35464	5.40012	16.96695	5.72086	17.8145	6.46775	1.74852	7.21756	3.04544	0.89805	8.20314	21.09437	4.54396	16.58157	17.21799	22.06739	29.76855	38.09706	36.72569	11.64433	31.61856	6.02212	60.01764	42.13519	44.83584	59.87093	3.34463	14.81013	6.6706	5.28246	28.48809	0.18947	NA	0.39666	27.21023	1.80042	7.33573	17.30695	0.78599	4.6988	1.63902	0.46607	34.47169	58.12607	25.05507	33.41833	NA	1.16354	3.11529	2.79297	1.43354	2.26934	10.10728	20.41519	1.86698	2.86174	21.19033
CBM85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.16163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CBM86	NA	NA	NA	9.27749	7.5279	7.80994	22.18031	37.63544	23.6025	64.30138	15.46873	13.15032	30.56144	18.40912	7.47038	NA	NA	NA	NA	41.30326	62.51853	60.53467	34.89101	25.05483	7.61606	16.38133	5.83455	9.6983	NA	45.2872	1.68096	32.66307	20.28346	22.47938	15.78285	2.55342	6.16227	18.17841	24.72618	8.96192	3.22055	0.75651	6.6398	3.10836	4.09349	5.52252	12.20284	0.69963	9.50812	0.82366	5.33326	1.74499	2.84627	3.10351	7.52514	24.68979	8.38694	3.12318	35.68988	1.7044	0.19988	1.15447	1.43004	10.7233	3.01202	32.03404	10.83429	NA	0.34301	0.1882	0.30629	42.26352	18.68262	51.54852	13.57817	NA	1.12468	0.94714	6.55629	5.57405	28.00191	13.41704	5.29608	0.87022	0.13368	3.36181	2.99002	NA	NA	NA	19.67247	21.53483	17.5311	2.77471	NA	NA	NA	NA	10.23792	35.20472	4.26798	12.24991	1.31117	18.73562	3.32387	NA	0.22877	0.47145	3.66318	NA	NA	NA	0.97768	2.17297	0.80882	9.12908	2.08305	25.50421	8.8665	23.89636	1.13795	43.05584	35.19224	2.17208	35.07251	12.09601	23.2141	8.83639	5.3796	20.97616	0.81056	NA	0.17017	3.44301	0.15947	1.20889	7.81393	NA	25.25307	1.73126	15.25829	2.16784	0.61319	3.20933	1.84262	0.16639	1.56205	2.25191	0.55981	0.15671	1.49004	0.88566	1.00302	2.72101	1.34553	4.79685
CBM9	16.41564	9.61883	23.43345	32.7498	17.17956	31.60921	63.54727	42.16568	28.58591	64.91585	15.95356	30.97244	43.01485	22.91997	13.78569	22.42857	18.85293	21.18594	13.99173	70.76537	69.63227	67.78816	60.60416	61.88435	29.35503	39.43959	22.48472	47.49925	6.71774	33.48639	25.47401	33.97227	22.18884	21.61374	16.84357	18.2548	45.6373	39.58918	48.60802	12.52563	16.32274	9.92075	18.97275	28.19427	35.31424	34.43797	29.19846	9.72806	18.08815	11.61904	8.11557	13.00318	15.49054	8.20245	23.40109	39.97209	18.99457	20.45199	54.34092	13.34625	2.56918	9.42247	9.689	41.4397	10.04064	40.30356	24.55975	25.57047	14.4929	19.95051	24.62016	43.48937	20.18175	42.06395	32.09083	27.71706	25.53541	32.31397	22.73278	18.70795	42.16408	11.9754	14.44803	4.90609	3.42501	8.92503	8.39196	4.41499	13.42952	1.67802	37.1246	47.36665	34.53681	22.76081	51.70971	14.33122	20.8954	26.27262	13.24782	33.55278	4.77062	14.32529	10.77116	16.79551	13.84374	26.23263	12.89022	16.30916	22.57914	7.67773	7.34419	2.56262	8.26264	5.65006	6.62779	15.62038	7.3931	28.98101	11.52064	47.37977	25.83234	41.39308	25.44451	26.53384	36.57566	22.02356	27.22554	13.26675	12.19461	28.61486	8.21922	3.47529	23.02916	26.92243	8.36281	14.06449	34.56701	1.50082	20.69207	4.45405	16.74172	20.76293	18.4142	20.90746	15.94903	6.70351	7.87592	11.12636	11.73922	3.11361	6.98367	7.18497	9.74157	6.73285	6.85676	15.79108
CE1	487.06408	553.48039	507.36769	600.24559	704.21344	678.23865	809.72337	819.15364	657.62953	930.98858	607.78814	612.77624	645.89324	561.39388	575.51795	743.71959	809.22218	725.48966	574.87892	669.54301	702.9997	635.06645	779.3598	748.00054	709.97144	685.90578	780.50917	702.18063	525.66796	605.14334	740.07497	813.69961	666.28556	705.82211	703.31046	911.72035	547.06651	558.5015	687.12634	571.50716	542.36	591.97201	562.29224	709.52391	600.86493	554.74973	657.43835	569.53688	751.58147	785.10083	583.32138	526.61342	506.73102	500.46	747.72217	676.13711	679.93575	676.29224	706.53019	589.35411	554.49011	616.14217	630.93494	870.14884	538.16528	600.28021	661.46969	582.84146	537.67782	587.57497	584.47197	578.05643	628.61314	690.25937	624.26603	723.88908	765.16105	616.84258	766.27249	566.32106	572.17325	446.7084	626.07262	511.23604	463.699	494.25964	569.63815	582.57554	484.70391	538.60473	655.47002	671.20846	702.01281	780.22144	581.42213	718.37128	590.47345	708.45971	584.8657	480.12645	440.30173	571.1538	628.93248	473.02658	478.85992	663.86342	552.96841	544.4199	749.73664	599.70996	513.27414	592.02437	674.163	569.28143	516.51326	654.13785	575.04756	605.91454	655.0868	617.51025	693.67809	687.25549	656.7708	628.45722	646.63435	738.25795	617.46615	576.30259	526.08782	518.34702	422.79518	386.92659	602.6308	709.5018	486.47909	606.87489	709.80213	564.6658	628.77655	540.63682	598.78938	559.03921	562.53429	581.31263	594.59558	597.39888	628.40185	618.6255	585.25674	406.75141	485.73168	517.63037	474.98928	454.54662	435.62382	531.28789
CE11	86.57589	90.17548	88.03597	47.46767	50.92344	68.65918	61.22885	22.78819	27.5437	27.72363	33.21094	74.91775	78.80712	86.27875	88.00651	114.26949	101.72686	118.02581	106.8842	46.92992	35.86916	17.12162	72.71639	63.61376	78.42815	74.96354	143.66035	72.81191	28.10484	23.98798	120.02919	101.25724	73.08126	71.4204	91.90125	243.99092	119.34029	146.68826	159.33317	20.88866	47.29546	55.52069	40.97524	92.9742	62.82835	59.48329	82.67093	51.77119	125.32155	91.96828	63.48487	65.94285	65.2277	32.32889	170.57219	126.4133	152.19241	108.53004	120.66071	96.54254	43.60974	63.89455	540.74114	171.51656	42.16729	80.03007	56.74562	33.60392	35.00331	73.31709	60.92774	46.22772	56.22428	17.50049	42.64416	96.59248	77.517	74.89656	74.94187	83.80877	94.3041	29.52652	116.79329	74.68422	65.46982	66.16557	70.0112	27.9848	5.73439	24.39926	83.8172	81.21257	84.34199	149.32418	13.01719	103.14194	7.89787	54.0827	58.45164	22.56675	17.87751	54.91751	113.84094	67.58378	61.159	79.75751	56.95495	54.57754	541.65549	45.62401	36.37032	33.2647	65.74076	28.49015	19.37148	85.4212	35.43125	34.19912	33.98282	77.30475	52.11934	22.89638	43.43079	93.6221	29.17133	121.61323	61.8271	102.02277	75.33713	13.21742	10.95685	13.15682	60.80558	56.61299	32.07615	27.92201	97.06021	13.23431	33.06398	12.55474	30.3028	45.61243	40.39218	43.44134	128.76617	71.84849	88.67492	74.82958	78.8689	36.74755	93.15103	55.59748	65.03594	77.17118	29.01393	46.71595
