Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Filename,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR13759229,WGS,300,6062647500,PRJNA703757,SAMN18023206,Metagenome or environmental,1977616527,HANS KNOLL INSTITUTE,2017,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX10146067,CS108V5,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS108V5,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:11:00Z,1,CS108V5,SRP307400
SRR13759230,WGS,300,6215502300,PRJNA703757,SAMN18023205,Metagenome or environmental,2039263316,HANS KNOLL INSTITUTE,2017,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX10146066,CS108V1,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS108V1,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:16:00Z,1,CS108V1,SRP307400
SRR13759231,WGS,300,5569287000,PRJNA703757,SAMN18023204,Metagenome or environmental,1846458128,HANS KNOLL INSTITUTE,2017,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX10146065,CS106V5,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS106V5,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:00:00Z,1,CS106V5,SRP307400
SRR13759232,WGS,300,4840904700,PRJNA703757,SAMN18023203,Metagenome or environmental,1577863765,HANS KNOLL INSTITUTE,2017,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX10146064,CS106V1,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS106V1,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:03:00Z,1,CS106V1,SRP307400
SRR13759233,WGS,300,4689525000,PRJNA703757,SAMN18023202,Metagenome or environmental,1550209640,HANS KNOLL INSTITUTE,2017,public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX10146063,CS104V5,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS104V5,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:18:00Z,1,CS104V5,SRP307400
SRR13759234,WGS,300,4622067600,PRJNA703757,SAMN18023201,Metagenome or environmental,1512757032,HANS KNOLL INSTITUTE,2017,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX10146062,CS104V1,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS104V1,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:16:00Z,1,CS104V1,SRP307400
SRR13759235,WGS,300,5438921400,PRJNA703757,SAMN18023200,Metagenome or environmental,1738696163,HANS KNOLL INSTITUTE,2017,public,"run.zq,fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX10146061,CS099V5,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS099V5,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:01:00Z,1,CS099V5,SRP307400
SRR13759236,WGS,300,5398150800,PRJNA703757,SAMN18023199,Metagenome or environmental,1712066358,HANS KNOLL INSTITUTE,2017,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX10146060,CS099V1,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS099V1,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:01:00Z,1,CS099V1,SRP307400
SRR13759237,WGS,300,5744772900,PRJNA703757,SAMN18023198,Metagenome or environmental,1868879956,HANS KNOLL INSTITUTE,2017,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX10146059,CS097V5,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS097V5,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T04:03:00Z,1,CS097V5,SRP307400
SRR13759238,WGS,300,5921618100,PRJNA703757,SAMN18023197,Metagenome or environmental,1930371467,HANS KNOLL INSTITUTE,2017,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX10146058,CS097V1,China,Asia,China: Shanghai,Homo sapiens,Illumina NovaSeq 6000,feces,31.1883 N 121.4368 E,CS097V1,PAIRED,cDNA,METAGENOMIC,gut metagenome,ILLUMINA,2021-12-31T00:00:00Z,2021-02-22T03:59:00Z,1,CS097V1,SRP307400
