feature	SRR15511253	SRR15511254	SRR15511255	SRR15511256	SRR15511257	SRR15511258	SRR15511259	SRR15511260	SRR15511261	SRR15511262	SRR15511263	SRR15511264	SRR15511265	SRR15511266	SRR15511267	SRR15511268	SRR15511269	SRR15511270	SRR15511271	SRR15511272	SRR15511273	SRR15511274	SRR15511275	SRR15511276	SRR15511277	SRR15511278	SRR15511279	SRR15511280	SRR15511281	SRR15511282	SRR15511283	SRR15511284	SRR15511285	SRR15511286	SRR15511287
ko:K00678	0.51002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ko:K00679	NA	NA	NA	NA	NA	1.26311	16.47699	13.92905	15.86622	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.32126	NA	NA	NA	NA	NA	NA	NA	2.13314	NA	NA	NA	NA	NA	NA
ko:K00680	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.26419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ko:K00681	93.53736	88.59532	173.89707	159.47445	120.77346	86.23879	573.27446	445.21687	104.5906	42.49461	89.68422	60.06033	130.15365	180.81067	196.94771	31.01028	99.86112	201.64068	80.88035	136.22751	219.15252	245.84185	60.63987	87.50491	74.7206	78.94743	109.10872	83.31549	280.1691	349.28671	266.14235	113.01759	83.46328	238.31914	236.90472
ko:K00683	13.61103	41.58296	40.47292	43.73801	179.8088	46.6644	84.57136	161.92188	98.19393	48.37046	53.28892	12.97188	47.9492	152.41039	44.86817	4.22112	26.5385	487.37306	48.1347	72.53797	49.04215	56.01738	15.71255	55.21206	27.28856	3.34543	37.08359	6.46844	21.86564	14.30206	34.3301	20.11318	38.82313	22.10092	37.16069
ko:K00684	103.82787	244.6458	205.10497	721.94124	332.30652	82.15881	1582.75825	1110.48807	128.97158	300.01728	287.65326	219.30363	213.03552	352.81877	1197.37213	175.28513	742.20145	232.92425	292.6573	202.68981	250.90956	462.23525	269.45148	53.20507	204.04781	942.01488	502.27905	528.14395	323.61505	316.59057	650.86815	507.8962	92.02469	226.48425	253.32049
ko:K00685	1.14444	0.97609	NA	NA	NA	NA	NA	2.14881	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.95327	3.93166	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.89742	1.09859	NA	NA
ko:K00687	2.82415	6.48776	7.75934	3.86003	34.18209	15.13482	25.84578	20.7835	9.62926	6.50015	8.58335	15.9937	8.95328	13.41249	18.46642	0.39988	3.19897	11.1065	8.76977	14.06055	13.96032	47.59711	19.7937	5.18044	6.49005	3.55385	14.24693	13.45326	15.18266	3.22027	13.43312	13.21933	7.63515	4.14615	7.06779
ko:K00688	3397.4417	2468.65621	2507.08853	3125.55527	4473.77905	3325.12994	6861.44853	5219.56753	2293.99789	3120.37202	4657.71095	1583.43137	3935.05868	3780.91809	5709.65077	690.23887	3757.10814	5710.31412	3726.14165	4500.90923	4206.39015	4823.923	2829.49988	1612.72593	1493.68283	2754.41118	3877.97926	4791.21737	4019.10632	3200.94682	3617.50259	3192.2116	1864.72131	3120.37483	2823.49426
ko:K00689	37.08701	51.545	14.04271	25.73499	116.12534	59.99448	724.88836	523.95502	16.76541	73.76727	98.6665	15.59677	30.78667	21.26054	25.85852	11.17475	36.06594	89.57919	119.12771	146.71077	64.85675	252.7727	12.56156	9.91636	30.08269	50.19517	55.92889	113.77325	29.72661	16.04177	163.50041	87.34627	17.56055	18.5656	16.28557
