Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,samp_collect_device,samp_mat_process,Sample Name,sample_type,source_material_id,SRA Study,timepoint,treatment
SRR10204261,AMPLICON,602,34238148,PRJNA564636,SAMN12718885,Metagenome or environmental,19462833,UNIVERSITY OF ALBERTA,2016-10-26,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX6924288,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,4M224W6,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:42:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,4M224W6,feces,4M224W6,SRP223742,Week6,Arabinoxylan
SRR10204262,AMPLICON,602,23471980,PRJNA564636,SAMN12718870,Metagenome or environmental,14503201,UNIVERSITY OF ALBERTA,2016-09-20,public,"fastq,run.zq,sra","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX6924287,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,4M224W1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:43:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,4M224W1,feces,4M224W1,SRP223742,Week1,Arabinoxylan
SRR10204263,AMPLICON,602,35857528,PRJNA564636,SAMN12718855,Metagenome or environmental,20075626,UNIVERSITY OF ALBERTA,2016-09-11,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX6924286,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,4M224BL,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:42:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,4M224BL,feces,4M224BL,SRP223742,Baseline,Arabinoxylan
SRR10204264,AMPLICON,602,22892856,PRJNA564636,SAMN12718932,Metagenome or environmental,13574899,UNIVERSITY OF ALBERTA,2016-10-12,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX6924285,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,1M222W6,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:43:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,1M222W6,feces,1M222W6,SRP223742,Week6,MCC (Control)
SRR10204265,AMPLICON,602,34189386,PRJNA564636,SAMN12718920,Metagenome or environmental,19051551,UNIVERSITY OF ALBERTA,2016-03-11,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX6924284,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,1F015W6,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:43:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,1F015W6,feces,1F015W6,SRP223742,Week6,MCC (Control)
SRR10204266,AMPLICON,602,32784318,PRJNA564636,SAMN12718916,Metagenome or environmental,18227405,UNIVERSITY OF ALBERTA,2016-09-07,public,"sra,run.zq,fastq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX6924283,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,1M222W1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:43:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,1M222W1,feces,1M222W1,SRP223742,Week1,MCC (Control)
SRR10204267,AMPLICON,602,24850560,PRJNA564636,SAMN12718900,Metagenome or environmental,14994141,UNIVERSITY OF ALBERTA,2016-08-31,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX6924282,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,1M222BL,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:43:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,1M222BL,feces,1M222BL,SRP223742,Baseline,MCC (Control)
SRR10204268,AMPLICON,602,37581656,PRJNA564636,SAMN12718881,Metagenome or environmental,21068328,UNIVERSITY OF ALBERTA,2015-10-30,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX6924281,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,4M201W6,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:43:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,4M201W6,feces,4M201W6,SRP223742,Week6,Arabinoxylan
SRR10204269,AMPLICON,602,33336954,PRJNA564636,SAMN12718866,Metagenome or environmental,19219916,UNIVERSITY OF ALBERTA,2015-09-25,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX6924280,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,4M201W1,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:43:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,4M201W1,feces,4M201W1,SRP223742,Week1,Arabinoxylan
SRR10204270,AMPLICON,602,20062252,PRJNA564636,SAMN12718851,Metagenome or environmental,12314878,UNIVERSITY OF ALBERTA,2015-09-17,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX6924279,Canada,North America,Canada: Edmonton,Homo sapiens,Illumina MiSeq,feces,53.55 N 113.49 W,4M201BL,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-06-17T00:00:00Z,2019-09-30T13:43:00Z,1,Fisherbrand Commode Specimen Collection System,Genomic DNA isolated using Qiagen Stool Kit followed by Illumina MiSeq amplicon sequencing,4M201BL,feces,4M201BL,SRP223742,Baseline,Arabinoxylan
