feature	ERR2587706	ERR2587707	ERR2587708	ERR2587709	ERR2587710	ERR2587711	ERR2587712	ERR2587713	ERR2587714	ERR2587715	ERR2587716	ERR2587717	ERR2587718	ERR2587719	ERR2587720	ERR2587721	ERR2587722	ERR2587723	ERR2587724	ERR2587725	ERR2587726	ERR2587727	ERR2587728	ERR2587729	ERR2587730	ERR2587731	ERR2587732	ERR2587733	ERR2587734	ERR2587735	ERR2587736	ERR2587737	ERR2587738	ERR2587739	ERR2587740	ERR2587741	ERR2587742	ERR2587743	ERR2587744	ERR2587745	ERR2587746	ERR2587747	ERR2587748	ERR2587749	ERR2587750	ERR2587752	ERR2587753	ERR2587754	ERR2587755	ERR2587756	ERR2587757	ERR2587758	ERR2587759	ERR2587760	ERR2587762	ERR2587763	ERR2587764	ERR2587765	ERR2587766	ERR2587767	ERR2587768	ERR2587769	ERR2587770	ERR2587771	ERR2587772	ERR2587773	ERR2587774	ERR2587775	ERR2587776	ERR2587777	ERR2587778	ERR2587779	ERR2587780	ERR2587781	ERR2587782	ERR2587783	ERR2587784	ERR2587785	ERR2587786	ERR2587787	ERR2587788	ERR2587789	ERR2587790	ERR2587791	ERR2587792	ERR2587793	ERR2587794	ERR2587795	ERR2587796	ERR2587797	ERR2587798	ERR2587799	ERR2587800	ERR2587801	ERR2587802	ERR2587803	ERR2587804	ERR2587805	ERR2587806	ERR2587807	ERR2587808	ERR2587809	ERR2587810	ERR2587811	ERR2587812	ERR2587813	ERR2587814	ERR2587815	ERR2587816	ERR2587817	ERR2587818	ERR2587819	ERR2587820	ERR2587821
GH116	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.67348	11.90963	20.76507	17.42219	105.83516	25.05351	18.98095	18.7978	63.98426	31.21629	7.23276	20.83698	33.16827	17.93808	93.39544	18.26617	43.74287	17.04879	63.01423	35.24255	19.30553	16.00607	26.6516	34.5424	48.07077	40.75757	39.80423	12.01385	46.19441	74.68398	15.62557	13.97994	14.03236	42.56771	60.19597	32.15495	23.74295	16.92312	34.70481	64.92157	10.00347	27.31965	20.63017	37.08	18.94924	59.53843	7.20894	32.88117	24.14358	16.4103	43.72593	16.54597	50.12769	18.69391	40.82581	13.76619	30.48401	19.81128
GH117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.34492	6.52509	18.44863	6.90327	11.8482	4.36111	2.36766	39.64578	33.08179	34.221	14.81164	16.2197	22.4592	4.00321	15.35502	4.34157	5.76027	50.89506	36.93978	27.05995	10.79573	2.25489	6.43402	1.98557	25.40946	12.19102	13.21732	3.26815	21.44652	15.02719	5.21563	3.11335	5.53494	4.56979	22.04997	9.82046	12.48042	5.17594	16.4231	16.47326	2.33659	2.43215	8.02289	19.00084	13.01249	17.71558	1.48175	5.38024	5.6407	8.47219	1.4978	8.47433	25.40111	9.12866	19.09641	6.15575	8.9069	2.06666
GH120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	31.65121	119.03897	15.37	64.04045	25.03447	46.89735	67.29347	42.00519	76.80945	52.3534	46.24079	46.60948	47.23476	63.15826	65.22408	16.85926	37.95799	44.90198	36.29395	48.34402	37.07448	74.34869	60.90852	98.45966	128.16811	61.80552	61.51786	25.96233	26.12663	46.00263	49.33471	77.9987	37.80235	77.0605	128.9263	52.61997	67.96203	52.99778	76.47599	60.87647	38.95791	45.97718	68.57475	128.04757	56.04213	21.17354	16.83892	74.88069	45.70702	71.98409	31.59463	70.32007	48.75366	68.03334	26.30776	49.48489	115.20031	53.39646
GH121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.57738	1.82445	0.87554	0.75673	0.3875	0.53918	1.94014	1.59004	0.78872	1.35069	0.60901	2.10011	0.34827	2.29751	0.0581	0.38663	0.53576	20.82931	0.87042	2.60445	0.43726	1.20189	4.04082	3.08636	2.80252	0.72787	0.97673	1.48336	1.79362	10.59812	0.30333	1.66143	5.89221	0.44292	1.33979	3.60255	0.14745	1.31118	0.19485	3.7119	1.40768	0.09368	0.93076	0.92795	1.56616	NA	0.62604	16.57171	0.08429	1.51905	0.15371	0.35324	0.64466	1.68587	0.08026	1.76537	9.48564	0.6972
GH123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	84.20056	72.12255	143.41254	46.51185	63.43177	36.37831	38.05724	34.57539	82.92627	77.69205	57.51713	79.60705	149.45386	55.51901	65.78762	21.42901	34.89685	34.39536	88.58024	60.41755	40.88968	41.51602	57.78673	37.58509	27.33128	42.88899	43.76815	26.88809	83.29521	67.72982	27.98298	39.98979	53.24525	30.89163	39.54946	44.0856	41.46586	39.57119	54.8319	44.61588	42.12466	72.04919	27.48602	129.17277	45.79138	46.01286	31.837	33.12439	66.56054	40.31172	98.41089	30.58859	88.3498	54.93234	45.59378	82.07815	111.13004	67.90919
GH125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	147.98765	59.43688	134.37297	134.08052	124.20628	80.60012	102.06666	67.54726	358.95534	191.96196	104.08009	63.12674	125.9235	88.17587	148.46871	149.86779	193.20595	89.63303	275.39299	141.78829	94.12353	88.7599	98.21002	67.52831	286.14591	151.51799	157.93672	342.95011	232.06738	190.87061	64.95496	129.09149	77.71274	85.71045	267.25049	143.82653	124.59663	232.19722	112.57751	173.05645	88.13535	155.86388	80.88742	114.07143	158.76887	281.79816	173.37836	82.47903	90.89406	82.48117	219.51357	48.30288	152.7919	142.84741	226.90208	92.84612	66.64706	74.90448
GH126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.28904	11.76129	0.11556	5.93335	3.0394	1.96026	1.69878	2.86568	6.40393	NA	NA	3.33606	5.47847	4.38742	3.14595	1.1301	2.62777	NA	1.84232	NA	NA	4.68277	3.53143	5.08943	1.65831	8.92923	5.19681	0.54037	1.55771	2.25982	0.24791	3.4005	7.02368	NA	6.42062	8.17453	2.13546	0.25974	1.41561	5.69237	2.01382	0.29373	5.11215	4.28374	5.44173	NA	1.38775	15.72942	NA	10.11799	0.61151	0.3771	1.89597	12.65845	NA	1.05633	25.00103	0.91147
GH127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	247.12432	126.98208	193.95182	272.14299	185.78169	144.26213	109.28918	109.59603	294.61745	225.16133	249.42335	172.62378	209.53666	260.48601	222.85117	155.6969	298.57243	162.63966	291.67124	162.84695	168.76982	169.16287	184.99385	148.6283	189.86091	201.59245	190.54518	545.50364	167.18245	132.73751	178.48997	159.21093	193.27752	301.28044	194.52199	155.6834	338.48933	378.47631	190.02332	148.228	185.84107	203.59866	145.05541	207.7831	190.61173	442.89719	213.10064	107.77727	128.44473	147.25475	170.63101	143.53214	278.50379	182.13195	355.44101	100.63577	164.89114	116.41752
GH128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.69279	2.62711	NA	4.20881	0.66571	2.86076	0.13487	1.22612	2.09685	3.72533	0.2192	4.8787	0.16032	1.7738	0.62896	1.22501	1.50971	NA	1.89686	3.72734	0.15828	8.76547	7.91387	24.50194	0.28791	0.57489	3.61623	0.54233	NA	2.4211	0.96483	13.84169	5.28454	11.87843	1.95664	2.05888	1.06437	3.48582	0.62308	5.36538	4.27664	1.0986	3.32701	NA	0.77719	0.55153	2.37784	0.48891	NA	3.18809	NA	0.96724	2.87998	3.03939	0.41289	1.79704	0.20148	0.32518
GH129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.95808	13.7357	4.06563	7.3851	6.10031	8.65863	8.95449	5.05445	5.72932	10.05857	10.25358	4.71749	9.08297	4.34684	4.9175	3.27949	8.47799	9.20293	3.65506	8.64522	25.56551	6.1911	8.38866	11.96484	13.02344	8.61472	3.49911	4.08287	7.9209	9.12096	11.22956	4.02824	10.19264	5.48362	14.77908	6.93351	5.26106	5.50563	7.07585	6.61864	11.30795	9.22137	6.05631	13.87874	5.63588	3.00741	3.77238	5.29344	8.26098	14.16211	10.18842	4.85635	3.93403	6.15962	3.8726	13.37174	3.52646	11.68715
GH13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17.45321	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.62945	NA	NA	41.0761	NA	NA	NA	NA	NA	NA	6990.51293	7939.42421	4179.00903	9634.1148	7106.97618	5585.9234	4562.13393	10132.02627	6906.52292	8827.25961	8001.25404	6430.51651	3643.54625	5223.11047	8498.95049	5978.91523	6469.85188	10716.61876	6412.62039	8327.10404	5242.79491	8984.67842	8276.51875	6013.85965	6928.5224	5747.20712	6675.31867	6385.40899	5715.26118	4722.05299	7298.47252	8044.08049	7402.88568	7113.8181	6400.80672	5381.09259	9063.58169	6952.80688	5740.36077	6447.44725	9438.51183	7711.68943	6465.85547	4371.80893	6661.83634	7644.96187	6911.60484	4613.84903	7378.01308	8233.71849	5409.67152	8102.08931	5667.85192	7142.05741	7305.27755	5107.5551	3906.75291	6544.19756
GH130	NA	NA	50.43753	11.20681	NA	85.63717	NA	NA	NA	NA	NA	23.01449	107.84136	NA	NA	48.24347	NA	NA	NA	NA	15.7796	NA	30.18482	NA	38.19325	NA	90.14603	NA	NA	NA	NA	NA	20.64153	44.20623	43.96232	NA	23.96767	NA	NA	46.6739	NA	66.62897	30.63671	NA	NA	NA	NA	NA	NA	34.48842	NA	NA	NA	NA	NA	93.54746	333.10619	273.21014	228.59651	338.54203	410.34247	219.30683	205.12941	189.20436	362.43047	359.00597	278.67505	227.05836	198.56436	262.97317	389.57112	211.42205	405.9681	217.68763	454.48128	294.63678	316.12137	293.43747	324.75947	262.21993	436.42241	433.33099	329.09667	565.61167	335.81811	258.75814	264.6553	330.9629	296.57296	308.33305	286.94948	363.13515	296.70691	458.47615	294.63482	330.55074	271.8963	309.59251	319.97344	329.84944	313.92104	434.47165	251.87851	195.56652	400.04772	298.38094	307.40782	294.80557	426.76311	259.59303	386.5989	162.44614	197.73445	273.50588
GH133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	114.8269	44.87839	57.63254	82.79223	84.06183	68.01933	51.13771	171.34257	106.09464	168.85816	148.43521	64.61365	57.0683	57.57076	130.75453	123.973	128.73632	143.65026	117.99704	127.10443	70.54528	66.79725	75.02224	78.7988	106.34674	103.04323	58.13717	165.72359	67.27389	72.61009	93.96559	79.94629	68.93976	139.55323	97.07594	103.21544	162.30878	131.70152	78.63473	69.47521	107.52298	102.77661	45.87377	87.05662	55.72626	180.99118	162.98545	69.23821	46.9258	59.52666	81.39451	63.68347	105.17111	45.47955	165.98052	57.16333	66.96302	44.10331
GH136	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38.65117	47.8257	42.19185	31.40606	71.36896	45.24513	52.18564	47.22201	70.20041	61.79969	41.35166	44.55145	39.89839	20.86652	58.88798	26.39453	37.41207	47.29683	69.16003	50.32272	46.10799	22.52331	37.65582	54.00536	48.56516	50.40463	34.25178	22.71425	40.12958	27.02114	34.69739	23.45298	44.28142	35.34756	43.61498	28.21246	78.28993	35.39987	35.31641	21.28889	39.64384	33.76311	29.41561	45.9144	28.84697	38.48116	12.4084	24.87065	13.31229	36.21053	24.13988	32.33837	68.36717	28.59385	37.06275	20.79644	29.06831	28.66749
GH137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40.48665	5.92833	21.85351	15.22144	28.1214	10.90473	11.75081	26.08052	30.85429	13.47645	31.90087	34.14224	16.43948	13.10042	30.11469	43.83653	86.74968	26.09185	45.2556	3.72038	20.86826	4.23377	23.19922	10.71167	49.23854	21.74566	13.6126	158.47482	27.06701	7.37031	23.89431	9.42099	13.49	67.53094	31.7192	12.35406	64.447	103.08241	28.22919	9.17352	13.9606	11.21945	7.21248	32.64361	9.90494	86.82819	5.8554	10.64364	14.39305	7.96804	11.09912	11.54954	46.83624	8.77413	74.93314	3.76506	22.48785	14.80364
GH138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	75.7983	9.03147	30.74727	31.77317	43.33034	31.76116	14.08663	20.09016	65.50316	19.47374	50.45315	41.48387	28.3929	11.0444	73.3842	204.93344	104.32574	30.25305	74.46474	7.91224	30.1416	10.16663	25.5005	18.85628	110.98644	43.83023	25.13386	283.7904	15.6953	10.31502	40.94677	14.66564	25.94581	111.9625	79.21441	15.86045	74.05628	186.08596	32.80071	18.20516	22.79894	15.66915	14.05623	49.48261	17.59801	106.47582	14.42743	11.34678	17.80844	9.85814	21.73996	16.49349	81.59549	14.77281	75.5696	10.59656	35.83702	20.10423
GH139	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	48.86084	5.57532	15.66702	13.88752	25.48972	8.63172	8.45857	19.71686	34.74052	12.16902	38.10969	42.18929	15.93525	9.32583	33.02591	6.07596	17.50011	20.43886	41.2918	6.37991	3.76988	4.92284	15.98716	9.21754	37.12831	21.57538	13.09555	7.51225	11.32394	10.71548	1.57221	8.12129	10.22302	20.04471	23.81621	11.1304	17.73631	11.64823	20.7174	12.64974	5.75035	22.38539	15.78744	32.25356	9.39866	21.85124	5.17828	6.08833	15.47235	7.70823	16.54197	11.06599	55.71874	6.70998	27.96588	4.94503	19.55324	11.76322
GH13_10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.32554	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.12505	NA	NA	NA	NA	NA	NA	NA	0.31061	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.20848	NA	NA	NA	NA	NA	NA	0.23771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GH13_11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	82.31602	44.40261	10.88885	64.31286	27.60122	38.00258	16.25309	130.82098	65.65167	114.13409	85.25534	26.71805	14.69213	15.13808	55.91781	29.11348	44.11486	119.45294	37.52855	114.60556	11.93989	102.76766	48.48056	55.10194	55.13705	31.5245	57.19986	13.54024	23.07014	28.04546	29.05166	92.77234	39.58113	59.76206	53.91053	29.87261	105.99979	30.03956	17.02988	31.30162	97.33422	35.12709	63.28471	12.05927	54.9545	47.11561	56.11266	16.39733	15.2496	75.81014	26.69333	69.72457	26.08252	62.68468	41.21656	42.7714	7.33672	16.31153
GH13_12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.32035	0.38003	NA	0.13099	0.58124	NA	NA	0.92958	0.29771	0.11085	NA	NA	NA	1.70956	0.72854	NA	0.37323	0.54857	NA	0.09694	NA	0.6141	NA	0.15912	NA	0.23599	0.10041	0.6572	NA	0.47083	0.18391	NA	NA	NA	0.72026	NA	NA	0.87144	NA	NA	1.40576	0.25385	NA	NA	0.86743	0.08783	0.6066	1.65021	NA	NA	0.06667	NA	NA	0.17422	0.49164	NA	NA	0.2361
GH13_13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.29225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.08509	NA	NA	NA	NA	NA	NA	NA	0.20944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14724	NA	NA	NA	NA	NA	NA	NA	NA	0.08386	NA	NA	NA	NA	NA	NA	NA	NA
GH13_14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	150.15604	183.53049	48.03271	262.27672	112.03184	73.01656	60.95767	217.45604	132.41221	169.62798	146.88047	117.54808	36.77772	99.76707	141.63892	108.62638	136.3947	277.40168	125.02847	125.9211	69.0436	225.31903	198.19418	119.43462	147.05574	116.86656	106.15759	148.85782	133.01009	69.56693	126.38908	173.71677	155.52874	163.86149	132.34075	90.81137	244.40756	148.44283	98.22359	134.18977	199.28047	266.00708	114.59511	86.3984	106.02786	163.243	121.89665	94.85099	237.68802	202.957	148.08987	178.19638	120.95244	117.89013	186.99389	73.74606	42.58552	203.15135
GH13_16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.29835	0.22153	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4232	NA	0.24517	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.43247	0.18712	NA	NA	NA	NA	NA	NA	NA	NA	0.19722	NA	NA	0.12173	NA	NA	NA	0.18799	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25633	0.214
GH13_18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	61.88542	39.85673	19.24126	75.75042	97.39667	25.76052	29.78867	123.29497	44.33034	80.67535	82.72278	14.6666	22.8166	43.83575	75.44516	21.41465	65.30115	79.31564	18.07065	68.9089	15.32641	82.0249	72.70721	72.19756	41.97705	35.39582	57.6591	15.50427	28.37036	26.78683	32.15902	74.56793	69.50424	36.40891	47.93521	34.40227	66.04443	35.2917	27.36171	19.71658	64.03844	28.19353	67.64703	19.32482	61.86279	56.79328	29.93217	13.09073	72.03478	38.47187	21.62827	48.2802	49.44809	54.08919	37.61103	21.54302	11.76891	31.66793
GH13_19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.38999	98.41395	1.71034	148.71672	39.85143	26.67661	1.34017	42.68579	4.09648	8.8333	8.80274	28.17075	1.75181	18.9448	48.94209	10.88069	2.48578	132.32216	2.62141	1.9325	4.13584	55.64295	97.25722	19.41435	4.03658	5.2732	7.97941	2.1278	20.47763	8.20247	10.67467	33.59958	78.27306	20.7779	10.91041	7.81625	100.12089	9.08475	11.30271	29.11106	39.76345	117.5274	13.3878	2.88616	7.01766	11.62083	25.44582	49.9937	94.28821	70.87956	45.58678	59.33431	14.37891	9.83506	13.86583	2.76557	18.94624	98.0817
GH13_2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.84754	0.31609	1.08173	1.54128	0.80745	1.01429	NA	15.11037	3.88241	NA	61.73263	0.46575	8.8625	2.71001	0.37846	0.36235	1.13016	11.5588	4.17974	40.84666	8.76464	3.56174	NA	0.64926	0.1648	5.59534	0.2224	2.20896	6.95538	2.68152	6.22102	6.25726	0.11301	1.8039	0.24279	NA	2.25616	2.96828	3.11292	25.73492	3.64808	0.20722	0.06316	3.49892	7.48208	1.10164	9.66379	2.57781	28.96239	4.2083	0.34254	0.31082	3.31336	16.5738	0.30892	4.94762	10.48437
GH13_20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	86.17074	59.83004	17.19505	96.41745	112.02007	55.83333	59.3364	255.89293	79.76584	185.78927	84.04844	86.0441	37.6052	46.92811	125.29597	34.08218	83.30994	116.32198	63.31723	105.71005	78.92649	97.30584	81.39643	44.62549	62.96314	38.21088	61.65667	16.18014	34.26246	34.86715	104.79679	92.13848	71.39125	69.82481	74.11727	38.61012	148.24406	38.57551	57.08365	49.45749	118.12048	60.39113	76.931	26.95056	65.91943	77.19622	56.23843	45.83804	44.29031	103.68301	59.00267	92.1612	53.91822	48.9068	65.04689	54.78312	58.85652	49.65633
GH13_21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.35537	0.58777	0.10134	0.12493	NA	8.33677	NA	NA	0.42264	NA	NA	0.56145	0.59452	NA	NA	2.53569	NA	0.73249	NA	NA	NA	0.46943	0.12838	NA	NA	0.15895	NA	0.28451	NA	NA	0.22259	2.54747	0.37925	NA	NA	0.03963	NA	1.84478	NA	NA	0.96085	NA	NA	NA	NA	NA	NA	NA	3.31321	0.79601	0.40287	NA	NA	0.13208	NA	NA	0.35662	NA
GH13_23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.09115	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
