feature	ERR2587706	ERR2587707	ERR2587708	ERR2587709	ERR2587710	ERR2587711	ERR2587712	ERR2587713	ERR2587714	ERR2587715	ERR2587716	ERR2587717	ERR2587718	ERR2587719	ERR2587720	ERR2587721	ERR2587722	ERR2587723	ERR2587724	ERR2587725	ERR2587726	ERR2587727	ERR2587728	ERR2587729	ERR2587730	ERR2587731	ERR2587732	ERR2587733	ERR2587734	ERR2587735	ERR2587736	ERR2587737	ERR2587738	ERR2587739	ERR2587740	ERR2587741	ERR2587742	ERR2587743	ERR2587744	ERR2587745	ERR2587746	ERR2587747	ERR2587748	ERR2587749	ERR2587750	ERR2587752	ERR2587753	ERR2587754	ERR2587755	ERR2587756	ERR2587757	ERR2587758	ERR2587759	ERR2587760	ERR2587762	ERR2587763	ERR2587764	ERR2587765	ERR2587766	ERR2587767	ERR2587768	ERR2587769	ERR2587770	ERR2587771	ERR2587772	ERR2587773	ERR2587774	ERR2587775	ERR2587776	ERR2587777	ERR2587778	ERR2587779	ERR2587780	ERR2587781	ERR2587782	ERR2587783	ERR2587784	ERR2587785	ERR2587786	ERR2587787	ERR2587788	ERR2587789	ERR2587790	ERR2587791	ERR2587792	ERR2587793	ERR2587794	ERR2587795	ERR2587796	ERR2587797	ERR2587798	ERR2587799	ERR2587800	ERR2587801	ERR2587802	ERR2587803	ERR2587804	ERR2587805	ERR2587806	ERR2587807	ERR2587808	ERR2587809	ERR2587810	ERR2587811	ERR2587812	ERR2587813	ERR2587814	ERR2587815	ERR2587816	ERR2587817	ERR2587818	ERR2587819	ERR2587820	ERR2587821
CBM21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.0226	NA	NA	NA	NA	NA	NA	NA	2.75158	NA	NA	NA	NA	1.30001	NA	NA	NA	NA	1.04677	NA	NA	NA	NA	NA	NA	NA	1.3268	NA	NA	3.09847	NA	NA	NA	NA	NA	NA	3.51768	NA	NA	NA	NA	1.77915	NA	NA	NA	NA	NA	NA	NA	NA	16.26735	NA	1.89893	NA	NA	NA	NA
CBM22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.76866	78.00387	6.59337	55.02314	20.25786	14.7409	13.69904	9.95917	23.77158	25.99791	28.25783	16.10721	8.83814	15.62241	17.96625	12.53942	12.54519	36.81561	16.36487	19.97282	18.85353	45.12555	37.91843	43.29395	38.84192	70.55834	74.87278	36.59254	2.86997	28.46674	23.96758	37.59716	63.83873	30.4164	25.97367	44.26905	20.95859	57.70459	8.10369	22.47742	33.85639	29.83664	38.7209	18.49618	65.35546	19.86857	20.28067	28.77292	23.69378	40.99161	17.45853	50.1052	44.8208	66.26752	19.78016	11.56916	49.67972	50.09799
CBM23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.10894	45.48352	0.45493	38.55959	33.99159	34.90799	6.80254	4.80393	19.0393	18.03064	11.02589	22.50221	0.22835	22.70379	25.89325	16.83421	26.9154	3.71147	20.18429	1.63954	4.79355	51.09539	51.54415	16.67923	77.87586	10.26871	53.29302	30.29435	48.30903	11.12231	6.04481	44.83535	61.09588	35.57586	18.70984	1.20227	14.29239	45.75865	55.09376	50.84296	11.17777	2.0034	83.3064	3.73119	53.7918	13.4318	7.8204	6.96852	48.42296	8.61783	NA	79.49377	22.86793	23.96952	7.5126	8.87171	1.66977	26.31576
CBM24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.17227	7.93037	8.79359	7.22957	1.09582	6.86356	15.57772	17.25842	10.1383	12.55531	9.27883	3.19673	4.24467	6.34058	13.35976	3.17907	4.43878	28.24263	36.95163	16.64382	2.1414	6.94427	13.51571	10.65759	16.82912	11.78338	19.45115	8.71796	NA	1.37531	3.13021	14.50052	14.02967	10.01571	16.54669	5.85931	7.45835	7.04968	1.48563	2.10416	19.29778	2.73482	6.40455	5.39347	18.97812	26.18183	7.39293	NA	NA	14.04904	2.06344	17.67654	10.76796	46.96593	22.6086	13.62358	1.78917	5.31195
CBM25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.0532	11.61924	4.54983	0.65165	1.24147	9.35151	NA	0.43742	8.76971	14.20842	13.5152	15.20866	2.47121	2.89251	2.49237	4.00508	NA	5.32494	4.3515	3.25253	11.40343	2.38035	3.09644	2.83363	12.3876	1.17435	4.0568	2.15259	NA	18.66759	16.37462	4.03041	7.46171	3.93435	21.49729	2.09482	4.80739	6.81869	4.47947	11.44298	0.83907	2.99603	5.96338	13.05445	3.50906	1.34982	NA	85.09779	NA	0.45261	NA	33.9161	9.22638	17.83987	NA	NA	50.65204	0.5781
CBM26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	69.71393	306.53033	6.58759	462.24517	247.87106	48.08945	6.26661	139.17526	15.03006	39.27719	16.09334	153.86084	1.68686	71.4333	248.94172	115.05757	3.40084	469.29259	22.29003	4.7509	42.77793	347.30531	280.83261	105.76714	19.61347	30.6846	40.91116	17.94179	148.5592	45.06682	126.91794	205.23728	263.91887	67.17358	62.46894	24.83227	221.05373	37.44915	106.10053	161.01666	197.20662	562.71361	27.33982	23.53316	24.38486	33.63802	124.7941	388.6287	293.44489	239.95192	163.62375	252.36978	59.11353	50.06767	70.57811	28.45187	90.39852	361.53668
CBM27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.00271	24.05382	0.24449	18.82564	20.58535	26.87488	2.4686	3.14835	13.27644	13.88901	2.54107	19.33515	NA	2.75213	24.08469	17.66223	11.58961	1.00286	3.80374	2.98295	4.09291	31.23343	48.83619	14.11622	43.31821	8.31517	27.98912	21.81437	37.61439	18.02686	3.07476	31.4317	39.02743	43.72345	14.25024	0.95624	13.30608	28.07139	46.01907	36.66407	4.51551	1.42804	34.29411	0.7246	26.57019	NA	11.74526	NA	4.12962	3.81546	0.28697	63.07068	5.94253	21.59101	NA	8.0658	NA	0.83683
CBM3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.55816	21.36782	1.23045	19.33377	10.28201	7.66612	3.71354	2.21749	8.89574	NA	8.04586	1.96935	NA	2.96012	9.45621	6.56833	3.74386	NA	21.42957	NA	13.11322	8.23246	5.90158	5.26649	43.42165	16.11011	40.16162	21.10948	14.23372	3.92955	7.37175	9.44733	12.99391	7.93566	12.71984	5.94106	NA	39.85518	8.42794	6.43599	29.14057	6.72193	21.67961	13.09728	26.77989	10.53519	24.97387	5.91753	6.61097	6.27965	4.53546	18.55816	28.4487	13.20827	6.21523	1.63209	NA	15.79716
CBM30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.80902	4.47291	NA	0.50691	1.5993	NA	NA	0.73407	1.92524	NA	2.32143	0.75426	NA	NA	1.05518	NA	2.55599	NA	3.63927	NA	0.85656	2.7608	NA	NA	8.60838	2.52141	10.69678	2.15176	NA	0.48541	4.62327	0.8498	NA	1.26034	2.82734	0.90259	NA	2.21669	NA	1.0923	2.5213	0.99448	NA	0.43689	7.04457	4.4633	NA	NA	NA	3.88633	NA	NA	3.64321	4.0953	1.15565	NA	NA	NA
CBM32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	301.59729	152.09002	756.6807	254.6736	283.59598	194.82248	206.59144	226.21653	368.44946	312.30948	234.5979	432.31362	604.7712	223.91606	364.3469	200.47477	270.31459	172.77726	324.8896	273.98119	113.9477	164.19181	305.3329	329.26354	263.64321	320.84375	294.1219	266.55187	518.31376	338.91197	101.56383	174.69299	304.94675	237.50377	334.69832	389.90514	285.95931	282.95527	272.82627	231.89716	197.1158	259.49708	212.01743	574.02506	269.97334	378.10723	274.06241	240.25941	281.11317	176.25597	323.30125	141.50785	311.39144	254.13144	371.03794	176.34252	601.11847	255.29958
