feature	ERR2587706	ERR2587707	ERR2587708	ERR2587709	ERR2587710	ERR2587711	ERR2587712	ERR2587713	ERR2587714	ERR2587715	ERR2587716	ERR2587717	ERR2587718	ERR2587719	ERR2587720	ERR2587721	ERR2587722	ERR2587723	ERR2587724	ERR2587725	ERR2587726	ERR2587727	ERR2587728	ERR2587729	ERR2587730	ERR2587731	ERR2587732	ERR2587733	ERR2587734	ERR2587735	ERR2587736	ERR2587737	ERR2587738	ERR2587739	ERR2587740	ERR2587741	ERR2587742	ERR2587743	ERR2587744	ERR2587745	ERR2587746	ERR2587747	ERR2587748	ERR2587749	ERR2587750	ERR2587751	ERR2587752	ERR2587753	ERR2587754	ERR2587755	ERR2587756	ERR2587757	ERR2587758	ERR2587759	ERR2587760	ERR2587761	ERR2587762	ERR2587763	ERR2587764	ERR2587765	ERR2587766	ERR2587767	ERR2587768	ERR2587769	ERR2587770	ERR2587771	ERR2587772	ERR2587773	ERR2587774	ERR2587775	ERR2587776	ERR2587777	ERR2587778	ERR2587779	ERR2587780	ERR2587781	ERR2587782	ERR2587783	ERR2587784	ERR2587785	ERR2587786	ERR2587787	ERR2587788	ERR2587789	ERR2587790	ERR2587791	ERR2587792	ERR2587793	ERR2587794	ERR2587795	ERR2587796	ERR2587797	ERR2587798	ERR2587799	ERR2587800	ERR2587801	ERR2587802	ERR2587803	ERR2587804	ERR2587805	ERR2587806	ERR2587807	ERR2587808	ERR2587809	ERR2587810	ERR2587811	ERR2587812	ERR2587813	ERR2587814	ERR2587815	ERR2587816	ERR2587817	ERR2587818	ERR2587819	ERR2587820	ERR2587821
ko:K00008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	516.92151	511.8676	271.32584	312.80807	503.53641	387.97954	487.15638	634.88632	540.27302	403.22179	357.57509	362.19224	308.48669	443.49502	427.66086	183.56423	449.35569	532.29818	378.23743	528.95054	466.38613	631.84154	478.36946	412.02283	623.84128	266.13559	440.34619	355.06176	58.62553	339.19505	585.10868	366.90681	372.93699	290.61129	598.15026	253.57388	214.24591	576.00146	413.05761	309.07653	726.02673	411.16516	531.65631	379.82427	472.35751	419.53281	343.94414	440.66504	171.72737	682.7639	325.60215	516.28171	440.93462	418.98956	395.88031	339.80041	319.64485	262.54271
ko:K00009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	523.72266	277.50735	447.37346	402.26493	502.80911	311.77554	430.92235	656.35348	678.64615	343.81892	344.99392	345.20209	239.52195	473.08847	528.43487	343.07243	845.42163	581.18663	497.64912	595.67523	567.65433	373.68206	418.10576	487.72507	571.77631	406.71363	461.95396	1701.01835	35.38058	333.94135	762.98626	345.94199	273.96502	1230.74793	461.36268	450.82217	374.02077	1568.42147	197.25509	326.65402	527.2398	282.52904	211.59309	345.9798	601.44362	1293.63735	771.21717	267.12467	319.19896	389.58629	345.85297	218.94216	590.81994	825.1711	1131.33919	241.76664	186.70506	265.62939
ko:K00010	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60.68507	297.44773	96.96402	54.22711	67.54095	157.55275	212.83186	112.41355	103.59899	59.72898	68.22345	165.91275	127.64958	66.04076	42.48958	34.55482	95.51799	53.09666	43.64498	136.68356	211.54048	186.80838	151.5949	162.74222	55.75462	75.02053	77.1048	27.18828	12.18817	119.31036	176.63736	70.91458	99.68472	71.31409	174.52029	100.35827	36.83939	52.9735	118.03061	81.4424	198.6363	60.39557	154.58882	111.1777	111.54466	131.42302	177.64347	120.05762	86.81075	393.68081	93.27033	98.75562	84.82081	162.10661	189.65831	330.32836	119.89158	148.02077
ko:K00011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.92194	NA	NA	4.33691	0.85728	NA	NA	NA	NA	NA	NA	NA	NA	7.96227	2.18916	0.47144	NA	NA	NA	3.63252	NA	NA	NA	NA	NA	1.2547	1.55372	NA	0.85405	1.74967	NA	NA	NA	NA	NA	NA	0.50281	NA	1.87734	NA	1.79406	NA	NA	2.17063	NA	3.14239	NA	NA	NA	1.74177	NA	0.89653	3.92308	NA	0.44821	NA	NA
ko:K00012	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	775.64904	1098.94241	963.65378	996.3853	1040.11322	860.82892	1383.37752	1230.21593	1331.61434	795.06783	742.52154	1086.87053	1093.75779	920.48821	1101.97868	472.16851	1491.02726	913.67622	907.70004	972.04932	710.81524	1214.62911	1659.43147	1512.40269	1390.45296	1057.44249	1117.60339	1783.97126	143.87554	1012.0758	934.15972	819.62585	1275.53292	1388.39274	1423.55203	1148.68436	861.18991	1875.41741	945.58147	836.55877	1331.29266	722.79098	844.60294	792.07809	1175.74931	1594.95042	920.62417	729.2697	759.97396	1166.88907	674.16541	776.25774	1010.05055	1197.00986	1560.63706	789.4757	659.78046	701.98012
ko:K00013	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	962.49609	1296.43757	754.02076	876.69171	1190.58077	703.22156	965.74264	1456.70453	1149.65321	965.15969	718.05536	877.24544	622.4962	655.59759	1240.21235	271.29318	1260.21178	1077.05881	762.78206	1161.98104	710.06294	1130.44499	1245.23387	862.18634	1157.39939	839.94655	1006.03342	1131.08114	84.5037	629.63861	974.31846	677.19126	1156.4659	922.57871	953.84643	836.04321	828.38642	1387.51649	642.88274	663.2287	1323.30013	715.83626	1091.75856	695.85492	1082.19332	1441.26858	746.78589	628.48727	547.87773	1155.21985	678.2419	900.21334	1102.30769	1365.38286	1311.13399	793.37066	521.04778	780.2525
ko:K00014	NA	2.48252	1.29648	4.50529	1.4332	0.75332	4.01617	2.73313	4.29375	0.24187	0.35809	0.7046	0.81902	0.18391	0.8707	3.46234	0.04813	3.79007	0.67875	0.04347	2.32058	1.94074	1.52195	0.25349	5.59119	0.07069	3.32764	2.4471	3.8299	2.32561	0.774	NA	4.81909	0.88827	3.40104	NA	1.22923	1.89096	0.98008	1.04805	0.99702	1.30216	1.3586	NA	0.34162	NA	0.04408	0.17624	NA	0.63362	3.12557	0.20913	1.1336	0.43052	0.11166	NA	NA	2.01645	1248.70075	1593.58169	945.38235	1322.4321	1421.24264	1091.47698	1720.71233	2020.16086	1514.93451	1399.28778	1043.06159	1220.87773	945.8454	1234.03905	1417.8774	556.68963	1837.9201	1519.12429	903.52542	1766.81697	1315.46132	1714.14806	1723.44844	1501.95004	1524.67089	957.96745	1366.97811	2047.47402	129.74629	971.46556	1626.58052	1083.41993	1476.80868	1408.5577	1274.45197	1056.95298	1237.79419	1983.51521	989.73253	912.08565	2034.95098	1119.45713	1430.15201	1001.45646	1469.54551	1859.41283	1010.528	1019.16685	802.03018	1636.93307	913.63721	1188.47399	1370.07554	1776.14636	1719.21406	1086.49576	831.02725	1023.48773
ko:K00015	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.50661	67.8006	60.18949	28.76481	56.96295	59.34867	95.79919	44.90893	88.76888	48.58134	12.27652	73.54909	70.7089	67.12794	61.58002	29.13675	71.9162	54.90303	32.83772	46.86592	94.34166	67.61705	102.24302	67.28124	110.91943	30.79814	53.96775	22.90676	6.68947	42.60628	70.81758	33.03241	59.34575	37.98883	105.51502	38.12088	19.9672	110.2305	55.14815	45.84249	31.37555	37.30984	37.38182	72.16683	49.23238	26.28018	21.59882	123.01708	22.93561	42.36004	36.41101	29.47025	38.76952	61.40117	48.28817	36.65207	133.19401	44.55775
ko:K00016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	611.2299	1386.17527	494.80923	880.91121	858.41955	757.27228	854.76889	969.16756	735.95826	608.23831	552.75281	893.7911	432.96115	696.62188	819.28152	199.58681	675.01764	817.135	373.09178	791.37307	790.54233	973.24229	1201.27008	718.4062	752.82868	624.82132	779.48954	405.18543	52.84536	587.32943	823.91188	477.47912	1020.84185	641.31256	807.9093	617.48409	717.21999	606.01868	560.20772	780.22255	1024.50729	789.28963	713.38644	438.14339	755.52372	592.19831	442.1265	617.79316	388.07261	833.51369	608.35284	786.0813	542.9537	846.94828	610.6671	519.95723	309.90249	639.07855
ko:K00018	NA	NA	NA	0.14185	0.95355	NA	NA	NA	0.40404	NA	0.1116	NA	NA	NA	0.83915	0.13783	NA	NA	0.0787	NA	0.89702	NA	0.10446	NA	5.33616	NA	0.39657	0.14372	0.26983	NA	0.25803	0.38946	0.26925	1.2376	0.86519	0.17536	0.91536	NA	NA	NA	0.2458	0.21235	0.50776	NA	NA	NA	NA	0.19786	NA	0.19936	0.6808	NA	1.20079	NA	NA	NA	NA	1.68014	963.38873	1224.23251	696.44889	876.13305	1246.44965	608.76135	927.97122	1118.25472	805.40037	822.25297	730.87362	850.22471	558.91998	741.96347	1126.04784	300.46137	946.83023	950.7134	681.56502	1138.25826	796.88904	1018.00601	1180.53867	1004.52634	1128.16866	716.52129	932.31979	1272.20971	91.71124	622.69195	1039.87461	679.39655	1008.19009	1079.7476	928.6853	721.43886	875.94816	1423.87547	790.41915	687.76863	1446.05466	787.00669	949.92945	693.40245	1069.60773	1456.64509	643.14914	598.52296	402.46501	1272.91829	704.75669	920.17383	945.90123	1294.71333	1269.63683	794.57486	485.72275	705.48034
