"","run_accession","secondary_study_accession","sample_accession","secondary_sample_accession","experiment_accession","study_accession","submission_accession","tax_id","scientific_name","instrument_platform","instrument_model","library_name","nominal_length","library_layout","library_strategy","library_source","library_selection","read_count","base_count","center_name","first_public","last_updated","experiment_title","study_title","study_alias","experiment_alias","run_alias","fastq_bytes","fastq_md5","fastq_ftp","fastq_aspera","fastq_galaxy","submitted_bytes","submitted_md5","submitted_ftp","submitted_aspera","submitted_galaxy","submitted_format","sra_bytes","sra_md5","sra_ftp","sra_aspera","sra_galaxy","sample_alias","broker_name","Sample","Week","Intervention","nominal_sdev","Week","bam_ftp","bam_bytes","bam_md5"
"25","ERR5956570","ERP128019","SAMEA8793750","ERS6478100","ERX5597091","PRJEB44020","ERA4412244",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",16503450,1918726047,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP02-01_Week2_Study1PeaFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP02-01_Week2_Study1PeaFiber","webin-reads-TP02-01_Week2_Study1PeaFiber","587216408;603577173","c14bb0bd9af6de9a630324a35d792e9f;3275fc2f8a3c162d4c2c8ed9879f05f9","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5956570/ERR5956570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5956570/ERR5956570_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/000/ERR5956570/ERR5956570_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/000/ERR5956570/ERR5956570_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5956570/ERR5956570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/000/ERR5956570/ERR5956570_2.fastq.gz","564648852;580845401","957d2452450828243f17e56fcf26e1d6;baf72e95d502334a79be5f108cd1aa1f","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956570/TP02-01_TS1_Wk2_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956570/TP02-01_TS1_Wk2_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956570/TP02-01_TS1_Wk2_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956570/TP02-01_TS1_Wk2_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956570/TP02-01_TS1_Wk2_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956570/TP02-01_TS1_Wk2_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP02-01_Week2_Study1PeaFiber",NA,"TP02-01","2","Study1PeaFiber",NA,"2021-05-21","ftp.sra.ebi.ac.uk/vol1/err/ERR595/000/ERR5956570.bam",1187424979,"8b092d544e13e0b51b0fa3ea346b5589"
"26","ERR5956733","ERP128019","SAMEA8793882","ERS6478232","ERX5597254","PRJEB44020","ERA4412411",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",20378538,2517492947,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP02-01_Week2_Study2OrangeFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP02-01_Week2_Study2OrangeFiber","webin-reads-TP02-01_Week2_Study2OrangeFiber","810719231;889773084","da47d83bb3396371c94b090fd243fa93;ca961117382607a97fdb86f890754bdb","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5956733/ERR5956733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5956733/ERR5956733_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/003/ERR5956733/ERR5956733_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/003/ERR5956733/ERR5956733_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5956733/ERR5956733_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5956733/ERR5956733_2.fastq.gz","775813667;855077648","de7598c7c689f89e01bf8db5aba0d85d;d505d2e8d42a4428f8ac997633653afb","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956733/TP02-01_TS2_Wk2_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956733/TP02-01_TS2_Wk2_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956733/TP02-01_TS2_Wk2_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956733/TP02-01_TS2_Wk2_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956733/TP02-01_TS2_Wk2_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956733/TP02-01_TS2_Wk2_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP02-01_Week2_Study2OrangeFiber",NA,"TP02-01","2","Study2OrangeFiber",NA,"2021-05-23","ftp.sra.ebi.ac.uk/vol1/err/ERR595/003/ERR5956733.bam",1718488231,"9d976e33e23a0d144df9ea42ca37540f"
"27","ERR5956572","ERP128019","SAMEA8793751","ERS6478101","ERX5597093","PRJEB44020","ERA4412246",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",16923758,2163364939,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP02-01_Week3_Study1PeaFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP02-01_Week3_Study1PeaFiber","webin-reads-TP02-01_Week3_Study1PeaFiber","641999471;673922979","5d50ad056230604542986e1fac64cfc5;80e183c206afa56c6e5baa3ba30f2102","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5956572/ERR5956572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5956572/ERR5956572_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/002/ERR5956572/ERR5956572_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/002/ERR5956572/ERR5956572_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5956572/ERR5956572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/002/ERR5956572/ERR5956572_2.fastq.gz","619191740;650853024","6b6a343801d001b71e1e0ae6048583a6;b5916a844050ebbe2887ea572b67d89d","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956572/TP02-01_TS1_Wk3_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956572/TP02-01_TS1_Wk3_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956572/TP02-01_TS1_Wk3_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956572/TP02-01_TS1_Wk3_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956572/TP02-01_TS1_Wk3_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956572/TP02-01_TS1_Wk3_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP02-01_Week3_Study1PeaFiber",NA,"TP02-01","3","Study1PeaFiber",NA,"2021-05-21","ftp.sra.ebi.ac.uk/vol1/err/ERR595/002/ERR5956572.bam",1307301421,"d3b501c05856a98d353296ec6d0f3e98"
"28","ERR5956573","ERP128019","SAMEA8793752","ERS6478102","ERX5597094","PRJEB44020","ERA4412247",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",16629092,1987168929,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP02-01_Week4_Study1PeaFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP02-01_Week4_Study1PeaFiber","webin-reads-TP02-01_Week4_Study1PeaFiber","592927653;623031925","f8ba3ea12d1df4fe88f1ffa4d5a5f40e;f3052763738932e410156dadc12b7560","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5956573/ERR5956573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5956573/ERR5956573_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/003/ERR5956573/ERR5956573_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/003/ERR5956573/ERR5956573_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5956573/ERR5956573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/003/ERR5956573/ERR5956573_2.fastq.gz","570023936;599914202","92b5f3679473a2f0378f5b72048eabd4;5f4dd280659869424513f24cdc4e7908","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956573/TP02-01_TS1_Wk4_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956573/TP02-01_TS1_Wk4_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956573/TP02-01_TS1_Wk4_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956573/TP02-01_TS1_Wk4_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956573/TP02-01_TS1_Wk4_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956573/TP02-01_TS1_Wk4_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP02-01_Week4_Study1PeaFiber",NA,"TP02-01","4","Study1PeaFiber",NA,"2021-05-21","ftp.sra.ebi.ac.uk/vol1/err/ERR595/003/ERR5956573.bam",1211435518,"a51d38e90e3ffd9d3f0ef7b325da7e15"
"29","ERR5956574","ERP128019","SAMEA8793753","ERS6478103","ERX5597095","PRJEB44020","ERA4412248",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",16996772,2055249452,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP02-01_Week5_Study1PeaFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP02-01_Week5_Study1PeaFiber","webin-reads-TP02-01_Week5_Study1PeaFiber","609150916;636672545","359f20aa05a09bcb95ab6f62411ee302;6c649fadbb77bfdbb6045c1b043f506d","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5956574/ERR5956574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5956574/ERR5956574_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/004/ERR5956574/ERR5956574_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/004/ERR5956574/ERR5956574_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5956574/ERR5956574_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5956574/ERR5956574_2.fastq.gz","585912534;613169952","9eddedb56673f0ba18db997362eb586f;214e09a9a3fecd008e7664d92038fcbc","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956574/TP02-01_TS1_Wk5_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956574/TP02-01_TS1_Wk5_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956574/TP02-01_TS1_Wk5_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956574/TP02-01_TS1_Wk5_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956574/TP02-01_TS1_Wk5_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956574/TP02-01_TS1_Wk5_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP02-01_Week5_Study1PeaFiber",NA,"TP02-01","5","Study1PeaFiber",NA,"2021-05-21","ftp.sra.ebi.ac.uk/vol1/err/ERR595/004/ERR5956574.bam",1239338267,"b6f3ab7c510412b840c8e3f0122b9739"
"30","ERR5956734","ERP128019","SAMEA8793883","ERS6478233","ERX5597255","PRJEB44020","ERA4412412",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",19860990,2603937125,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP02-01_Week5_Study2OrangeFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP02-01_Week5_Study2OrangeFiber","webin-reads-TP02-01_Week5_Study2OrangeFiber","783131082;908151838","9855ee1fc65074480a9d19a226b0e04e;ce8cfc527adae0e6f812e06fd7e14d56","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5956734/ERR5956734_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5956734/ERR5956734_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/004/ERR5956734/ERR5956734_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/004/ERR5956734/ERR5956734_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5956734/ERR5956734_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/004/ERR5956734/ERR5956734_2.fastq.gz","748050179;873441118","c7696859f411c41550d3ee07e8bc76e8;66cb7abe7be02e4404659a5648157e05","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956734/TP02-01_TS2_Wk5_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956734/TP02-01_TS2_Wk5_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956734/TP02-01_TS2_Wk5_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956734/TP02-01_TS2_Wk5_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956734/TP02-01_TS2_Wk5_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956734/TP02-01_TS2_Wk5_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP02-01_Week5_Study2OrangeFiber",NA,"TP02-01","5","Study2OrangeFiber",NA,"2021-05-23","ftp.sra.ebi.ac.uk/vol1/err/ERR595/004/ERR5956734.bam",1699686291,"cce544b6dc8866f46094090c75cbcf52"
"31","ERR5956576","ERP128019","SAMEA8793754","ERS6478104","ERX5597097","PRJEB44020","ERA4412250",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",16728850,2043127984,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP02-01_Week8_Study1PeaFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP02-01_Week8_Study1PeaFiber","webin-reads-TP02-01_Week8_Study1PeaFiber","608368990;638341924","78aaf07b09885c99f5abff186ad70a6c;f01d50ac6e68838111d1ab59ef959b1f","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/006/ERR5956576/ERR5956576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/006/ERR5956576/ERR5956576_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/006/ERR5956576/ERR5956576_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/006/ERR5956576/ERR5956576_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/006/ERR5956576/ERR5956576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/006/ERR5956576/ERR5956576_2.fastq.gz","585227314;614965160","5eba19473f85d9652873dc1cf96247b1;10b115e36f446bdd67f50d4bd47f1aab","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956576/TP02-01_TS1_Wk8_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956576/TP02-01_TS1_Wk8_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956576/TP02-01_TS1_Wk8_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956576/TP02-01_TS1_Wk8_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956576/TP02-01_TS1_Wk8_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956576/TP02-01_TS1_Wk8_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP02-01_Week8_Study1PeaFiber",NA,"TP02-01","8","Study1PeaFiber",NA,"2021-05-21","ftp.sra.ebi.ac.uk/vol1/err/ERR595/006/ERR5956576.bam",1241138467,"c475ba70b42cbb2d3d9f5ea7c59dd5f4"
"32","ERR5956735","ERP128019","SAMEA8793884","ERS6478234","ERX5597256","PRJEB44020","ERA4412413",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",20032076,2523480810,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP02-01_Week8_Study2OrangeFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP02-01_Week8_Study2OrangeFiber","webin-reads-TP02-01_Week8_Study2OrangeFiber","761716473;882269984","6b2c748016fa639f0532d1767d884348;cddac7c1a539a288087743773b1d2fb1","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/005/ERR5956735/ERR5956735_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/005/ERR5956735/ERR5956735_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/005/ERR5956735/ERR5956735_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/005/ERR5956735/ERR5956735_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/005/ERR5956735/ERR5956735_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/005/ERR5956735/ERR5956735_2.fastq.gz","726986263;847903414","edbffc285012957a0d59514d60b52931;38998e12d3765cbacd190ad9f03af3ea","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956735/TP02-01_TS2_Wk8_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956735/TP02-01_TS2_Wk8_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956735/TP02-01_TS2_Wk8_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956735/TP02-01_TS2_Wk8_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956735/TP02-01_TS2_Wk8_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956735/TP02-01_TS2_Wk8_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP02-01_Week8_Study2OrangeFiber",NA,"TP02-01","8","Study2OrangeFiber",NA,"2021-05-23","ftp.sra.ebi.ac.uk/vol1/err/ERR595/005/ERR5956735.bam",1655535014,"81342b3a37333eab4a08c12f02787f4e"
"33","ERR5956578","ERP128019","SAMEA8793755","ERS6478105","ERX5597099","PRJEB44020","ERA4412252",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",17247960,2085307079,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP02-01_Week9_Study1PeaFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP02-01_Week9_Study1PeaFiber","webin-reads-TP02-01_Week9_Study1PeaFiber","627121352;656871640","70bfaa9c856a261fbead51b1e1ed876d;0d525ede37e443a4833ce363cb3fcd58","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/008/ERR5956578/ERR5956578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/008/ERR5956578/ERR5956578_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/008/ERR5956578/ERR5956578_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/008/ERR5956578/ERR5956578_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/008/ERR5956578/ERR5956578_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/008/ERR5956578/ERR5956578_2.fastq.gz","603387072;632866925","2f9ea85b33c50cc0984a52d567910bcc;1421a5b6162d4fc0c272771687178844","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956578/TP02-01_TS1_Wk9_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956578/TP02-01_TS1_Wk9_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956578/TP02-01_TS1_Wk9_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956578/TP02-01_TS1_Wk9_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956578/TP02-01_TS1_Wk9_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956578/TP02-01_TS1_Wk9_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP02-01_Week9_Study1PeaFiber",NA,"TP02-01","9","Study1PeaFiber",NA,"2021-05-21","ftp.sra.ebi.ac.uk/vol1/err/ERR595/008/ERR5956578.bam",1279573878,"9726f2aa660b8324821e9ae212ec80ad"
"34","ERR5956579","ERP128019","SAMEA8793756","ERS6478106","ERX5597100","PRJEB44020","ERA4412253",256318,"metagenome","ILLUMINA","unspecified",NA,NA,"PAIRED","OTHER","METAGENOMIC","RANDOM",15836440,1889119483,"WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES","2022-04-13","2022-04-13","unspecified sequencing: Raw reads: TP02-02_Week1_Study1PeaFiber","An approach for evaluating the effects of dietary fiber polysaccharides on the human gut microbiome and plasma proteome","ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-30-03-2021-04:15:02:361-407","webin-reads-TP02-02_Week1_Study1PeaFiber","webin-reads-TP02-02_Week1_Study1PeaFiber","563227320;586524285","7397d86fd8d6ae4555ca6cc4fd385be9;b9e78c0a7cec7552326ab5bbef883079","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/009/ERR5956579/ERR5956579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/009/ERR5956579/ERR5956579_2.fastq.gz","fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/009/ERR5956579/ERR5956579_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR595/009/ERR5956579/ERR5956579_2.fastq.gz","ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/009/ERR5956579/ERR5956579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR595/009/ERR5956579/ERR5956579_2.fastq.gz","541458630;564518695","5694e7dc421e2ad948ae904f4a76944b;da8c848643a882652419d49eba679d12","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956579/TP02-02_TS1_Wk1_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956579/TP02-02_TS1_Wk1_HF_CAT_R2.fq.gz","fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956579/TP02-02_TS1_Wk1_HF_CAT_R1.fq.gz;fasp.sra.ebi.ac.uk:/vol1/run/ERR595/ERR5956579/TP02-02_TS1_Wk1_HF_CAT_R2.fq.gz","ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956579/TP02-02_TS1_Wk1_HF_CAT_R1.fq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR595/ERR5956579/TP02-02_TS1_Wk1_HF_CAT_R2.fq.gz","FASTQ;FASTQ",NA,NA,NA,NA,NA,"TP02-02_Week1_Study1PeaFiber",NA,"TP02-02","1","Study1PeaFiber",NA,"2021-05-21","ftp.sra.ebi.ac.uk/vol1/err/ERR595/009/ERR5956579.bam",1143375468,"b27db192728e8d88bafe3303ebe8b7c1"
