Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR25368230,AMPLICON,502,46496244,PRJNA944997,SAMN36658763,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",31387407,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107451,USA,North America,USA,Homo sapiens,Illumina MiSeq,368TP07.2,42.4440 N 76.5019 W,368TP07.2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,368TP07.2,SRP450576
SRR25368231,AMPLICON,502,31226408,PRJNA944997,SAMN36658056,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",19112817,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107450,USA,North America,USA,Homo sapiens,Illumina MiSeq,325TP03,42.4440 N 76.5019 W,325TP03,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,325TP03,SRP450576
SRR25368232,AMPLICON,502,44028412,PRJNA944997,SAMN36658278,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",27172604,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107449,USA,North America,USA,Homo sapiens,Illumina MiSeq,320TP06,42.4440 N 76.5019 W,320TP06,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,320TP06,SRP450576
SRR25368241,AMPLICON,502,39922554,PRJNA944997,SAMN36658230,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",24374750,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107440,USA,North America,USA,Homo sapiens,Illumina MiSeq,360TP03,42.4440 N 76.5019 W,360TP03,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,360TP03,SRP450576
SRR25368252,AMPLICON,502,29663180,PRJNA944997,SAMN36658710,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",17231961,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107429,USA,North America,USA,Homo sapiens,Illumina MiSeq,359TP07.2,42.4440 N 76.5019 W,359TP07.2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,359TP07.2,SRP450576
SRR25368253,AMPLICON,502,51152796,PRJNA944997,SAMN36658348,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",33919012,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107428,USA,North America,USA,Homo sapiens,Illumina MiSeq,359TP07,42.4440 N 76.5019 W,359TP07,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,359TP07,SRP450576
SRR25368254,AMPLICON,502,40118836,PRJNA944997,SAMN36658347,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",24574626,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107427,USA,North America,USA,Homo sapiens,Illumina MiSeq,359TP06,42.4440 N 76.5019 W,359TP06,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,359TP06,SRP450576
SRR25368255,AMPLICON,502,29191300,PRJNA944997,SAMN36658559,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",17578514,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107426,USA,North America,USA,Homo sapiens,Illumina MiSeq,359TP05,42.4440 N 76.5019 W,359TP05,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,359TP05,SRP450576
SRR25368256,AMPLICON,502,52046356,PRJNA944997,SAMN36658711,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",35098247,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107425,USA,North America,USA,Homo sapiens,Illumina MiSeq,359TP04.2,42.4440 N 76.5019 W,359TP04.2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,359TP04.2,SRP450576
SRR25368257,AMPLICON,502,29799724,PRJNA944997,SAMN36658117,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",17641000,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107424,USA,North America,USA,Homo sapiens,Illumina MiSeq,359TP04,42.4440 N 76.5019 W,359TP04,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:29:00Z,1,359TP04,SRP450576
