Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolate,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR25367496,AMPLICON,502,25581418,PRJNA944997,SAMN36658471,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",16095159,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107168,USA,North America,USA,Homo sapiens,Illumina MiSeq,334TP02,42.4440 N 76.5019 W,334TP02,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,334TP02,SRP450576
SRR25367497,AMPLICON,502,24169794,PRJNA944997,SAMN36657991,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",13739708,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107167,USA,North America,USA,Homo sapiens,Illumina MiSeq,334TP01,42.4440 N 76.5019 W,334TP01,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,334TP01,SRP450576
SRR25367502,AMPLICON,502,39710208,PRJNA944997,SAMN36658395,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",25302856,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107162,USA,North America,USA,Homo sapiens,Illumina MiSeq,321TP02,42.4440 N 76.5019 W,321TP02,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:27:00Z,1,321TP02,SRP450576
SRR25367503,AMPLICON,502,21328976,PRJNA944997,SAMN36658153,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12038788,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107161,USA,North America,USA,Homo sapiens,Illumina MiSeq,388TP09,42.4440 N 76.5019 W,388TP09,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,388TP09,SRP450576
SRR25367505,AMPLICON,502,22939392,PRJNA944997,SAMN36658843,"MIGS/MIMS/MIMARKS.human-gut,MIMARKS.survey",14921199,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107159,USA,North America,USA,Homo sapiens,Illumina MiSeq,388TP07.2,42.4440 N 76.5019 W,388TP07.2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,388TP07.2,SRP450576
SRR25367521,AMPLICON,502,37686144,PRJNA944997,SAMN36658515,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",24009366,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107143,USA,North America,USA,Homo sapiens,Illumina MiSeq,387TP08,42.4440 N 76.5019 W,387TP08,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,387TP08,SRP450576
SRR25367522,AMPLICON,502,20261222,PRJNA944997,SAMN36658844,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",13270156,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107142,USA,North America,USA,Homo sapiens,Illumina MiSeq,387TP07.2,42.4440 N 76.5019 W,387TP07.2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,387TP07.2,SRP450576
SRR25367523,AMPLICON,502,11998804,PRJNA944997,SAMN36658382,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",6813638,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107141,USA,North America,USA,Homo sapiens,Illumina MiSeq,387TP07,42.4440 N 76.5019 W,387TP07,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,387TP07,SRP450576
SRR25367524,AMPLICON,502,50867158,PRJNA944997,SAMN36658381,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",30756476,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107140,USA,North America,USA,Homo sapiens,Illumina MiSeq,387TP06,42.4440 N 76.5019 W,387TP06,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,387TP06,SRP450576
SRR25367530,AMPLICON,502,28234488,PRJNA944997,SAMN36658578,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",16373536,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107134,USA,North America,USA,Homo sapiens,Illumina MiSeq,386TP05,42.4440 N 76.5019 W,386TP05,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,386TP05,SRP450576
SRR25367531,AMPLICON,502,38886928,PRJNA944997,SAMN36658810,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",25796894,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107133,USA,North America,USA,Homo sapiens,Illumina MiSeq,386TP04.2,42.4440 N 76.5019 W,386TP04.2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,386TP04.2,SRP450576
SRR25367532,AMPLICON,502,21681380,PRJNA944997,SAMN36658266,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12633349,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107132,USA,North America,USA,Homo sapiens,Illumina MiSeq,386TP04,42.4440 N 76.5019 W,386TP04,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,386TP04,SRP450576
SRR25367533,AMPLICON,502,32143562,PRJNA944997,SAMN36658265,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",20663270,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107131,USA,North America,USA,Homo sapiens,Illumina MiSeq,386TP03,42.4440 N 76.5019 W,386TP03,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,386TP03,SRP450576
SRR25367534,AMPLICON,502,45380298,PRJNA944997,SAMN36658514,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",28960872,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107130,USA,North America,USA,Homo sapiens,Illumina MiSeq,386TP02,42.4440 N 76.5019 W,386TP02,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,386TP02,SRP450576
SRR25367535,AMPLICON,502,21478070,PRJNA944997,SAMN36658139,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12649380,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107129,USA,North America,USA,Homo sapiens,Illumina MiSeq,374TP10,42.4440 N 76.5019 W,374TP10,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,374TP10,SRP450576
SRR25367536,AMPLICON,502,21921838,PRJNA944997,SAMN36658138,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12313521,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107128,USA,North America,USA,Homo sapiens,Illumina MiSeq,374TP09,42.4440 N 76.5019 W,374TP09,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,374TP09,SRP450576
SRR25367537,AMPLICON,502,39862314,PRJNA944997,SAMN36658442,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",25255080,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107127,USA,North America,USA,Homo sapiens,Illumina MiSeq,374TP08,42.4440 N 76.5019 W,374TP08,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,374TP08,SRP450576
SRR25367538,AMPLICON,502,53518220,PRJNA944997,SAMN36658371,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",32512568,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107126,USA,North America,USA,Homo sapiens,Illumina MiSeq,374TP06,42.4440 N 76.5019 W,374TP06,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,374TP06,SRP450576
SRR25367539,AMPLICON,502,30226424,PRJNA944997,SAMN36658572,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",17738474,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107125,USA,North America,USA,Homo sapiens,Illumina MiSeq,374TP05,42.4440 N 76.5019 W,374TP05,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,374TP05,SRP450576
SRR25367540,AMPLICON,502,24501114,PRJNA944997,SAMN36658764,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14366094,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107124,USA,North America,USA,Homo sapiens,Illumina MiSeq,374TP04.2,42.4440 N 76.5019 W,374TP04.2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,374TP04.2,SRP450576
SRR25367541,AMPLICON,502,42847206,PRJNA944997,SAMN36658254,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",28778883,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107123,USA,North America,USA,Homo sapiens,Illumina MiSeq,374TP04,42.4440 N 76.5019 W,374TP04,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,374TP04,SRP450576
SRR25367542,AMPLICON,502,18612152,PRJNA944997,SAMN36658253,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",10510331,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107122,USA,North America,USA,Homo sapiens,Illumina MiSeq,374TP03.rerun,42.4440 N 76.5019 W,374TP03.rerun,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,374TP03.rerun,SRP450576
SRR25367543,AMPLICON,502,37663052,PRJNA944997,SAMN36658507,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",23830705,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107121,USA,North America,USA,Homo sapiens,Illumina MiSeq,374TP02,42.4440 N 76.5019 W,374TP02,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,374TP02,SRP450576
SRR25367544,AMPLICON,502,33865924,PRJNA944997,SAMN36658462,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",21522920,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107120,USA,North America,USA,Homo sapiens,Illumina MiSeq,325TP08,42.4440 N 76.5019 W,325TP08,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,325TP08,SRP450576
SRR25367545,AMPLICON,502,29829844,PRJNA944997,SAMN36658028,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",17118367,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107119,USA,North America,USA,Homo sapiens,Illumina MiSeq,374TP01.rerun,42.4440 N 76.5019 W,374TP01.rerun,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,374TP01.rerun,SRP450576
SRR25367546,AMPLICON,502,31079824,PRJNA944997,SAMN36658441,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",19921730,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107118,USA,North America,USA,Homo sapiens,Illumina MiSeq,373TP02,42.4440 N 76.5019 W,373TP02,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,373TP02,SRP450576
SRR25367547,AMPLICON,502,28769620,PRJNA944997,SAMN36658027,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",16073916,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107117,USA,North America,USA,Homo sapiens,Illumina MiSeq,373TP01,42.4440 N 76.5019 W,373TP01,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,373TP01,SRP450576
SRR25367548,AMPLICON,502,34678160,PRJNA944997,SAMN36658669,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",20798426,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107116,USA,North America,USA,Homo sapiens,Illumina MiSeq,372TP12.rerun,42.4440 N 76.5019 W,372TP12.rerun,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,372TP12.rerun,SRP450576
SRR25367549,AMPLICON,502,24926810,PRJNA944997,SAMN36658668,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",15121516,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107115,USA,North America,USA,Homo sapiens,Illumina MiSeq,372TP11,42.4440 N 76.5019 W,372TP11,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,372TP11,SRP450576
SRR25367550,AMPLICON,502,34949240,PRJNA944997,SAMN36658694,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",20652054,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107114,USA,North America,USA,Homo sapiens,Illumina MiSeq,372TP10.2,42.4440 N 76.5019 W,372TP10.2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,372TP10.2,SRP450576
SRR25367551,AMPLICON,502,59593926,PRJNA944997,SAMN36658137,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",40241283,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107113,USA,North America,USA,Homo sapiens,Illumina MiSeq,372TP10,42.4440 N 76.5019 W,372TP10,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,372TP10,SRP450576
SRR25367552,AMPLICON,502,23067402,PRJNA944997,SAMN36658136,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",13312779,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107112,USA,North America,USA,Homo sapiens,Illumina MiSeq,372TP09,42.4440 N 76.5019 W,372TP09,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,372TP09,SRP450576
SRR25367553,AMPLICON,502,31910634,PRJNA944997,SAMN36658440,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",20421958,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107111,USA,North America,USA,Homo sapiens,Illumina MiSeq,372TP08,42.4440 N 76.5019 W,372TP08,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,372TP08,SRP450576
SRR25367554,AMPLICON,502,24167786,PRJNA944997,SAMN36658765,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14109390,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107110,USA,North America,USA,Homo sapiens,Illumina MiSeq,372TP07.2,42.4440 N 76.5019 W,372TP07.2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,372TP07.2,SRP450576
SRR25367555,AMPLICON,502,54104054,PRJNA944997,SAMN36658740,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",36426884,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107109,USA,North America,USA,Homo sapiens,Illumina MiSeq,325TP07.2,42.4440 N 76.5019 W,325TP07.2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,325TP07.2,SRP450576
SRR25367557,AMPLICON,502,34025560,PRJNA944997,SAMN36658369,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",20889278,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107107,USA,North America,USA,Homo sapiens,Illumina MiSeq,372TP06,42.4440 N 76.5019 W,372TP06,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,372TP06,SRP450576
SRR25367558,AMPLICON,502,39295556,PRJNA944997,SAMN36658571,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",23024075,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107106,USA,North America,USA,Homo sapiens,Illumina MiSeq,372TP05,42.4440 N 76.5019 W,372TP05,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,372TP05,SRP450576
SRR25367559,AMPLICON,502,25505114,PRJNA944997,SAMN36658754,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",14871314,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107105,USA,North America,USA,Homo sapiens,Illumina MiSeq,372TP04.2,42.4440 N 76.5019 W,372TP04.2,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,372TP04.2,SRP450576
SRR25367561,AMPLICON,502,44374792,PRJNA944997,SAMN36658251,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",28560808,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107103,USA,North America,USA,Homo sapiens,Illumina MiSeq,372TP03,42.4440 N 76.5019 W,372TP03,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,372TP03,SRP450576
SRR25367562,AMPLICON,502,37054126,PRJNA944997,SAMN36658506,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",23869739,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107102,USA,North America,USA,Homo sapiens,Illumina MiSeq,372TP02,42.4440 N 76.5019 W,372TP02,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,372TP02,SRP450576
SRR25367563,AMPLICON,502,20357606,PRJNA944997,SAMN36658026,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",12413008,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107101,USA,North America,USA,Homo sapiens,Illumina MiSeq,372TP01,42.4440 N 76.5019 W,372TP01,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,372TP01,SRP450576
SRR25367564,AMPLICON,502,37792568,PRJNA944997,SAMN36658667,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",22766058,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107100,USA,North America,USA,Homo sapiens,Illumina MiSeq,371TP12.rerun,42.4440 N 76.5019 W,371TP12.rerun,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,371TP12.rerun,SRP450576
SRR25367565,AMPLICON,502,37654518,PRJNA944997,SAMN36658666,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",23322817,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107099,USA,North America,USA,Homo sapiens,Illumina MiSeq,371TP11,42.4440 N 76.5019 W,371TP11,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,371TP11,SRP450576
SRR25367569,AMPLICON,502,33315230,PRJNA944997,SAMN36658356,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",20326871,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107095,USA,North America,USA,Homo sapiens,Illumina MiSeq,364TP06,42.4440 N 76.5019 W,364TP06,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,364TP06,SRP450576
SRR25367570,AMPLICON,502,37685140,PRJNA944997,SAMN36658593,"MIMARKS.survey,MIGS/MIMS/MIMARKS.human-gut",22169242,CORNELL UNIVERSITY,2020-10-06/2021-12-16,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",human body,distal gut,stool,SRX21107094,USA,North America,USA,Homo sapiens,Illumina MiSeq,323TP11.rerun,42.4440 N 76.5019 W,323TP11.rerun,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2025-01-01T00:00:00Z,2023-07-20T15:26:00Z,1,323TP11.rerun,SRP450576
