feature	ERR1995525	ERR1999767	ERR1999768	ERR1999769	ERR1999770	ERR1999771	ERR1999772	ERR1999773	ERR1999774	ERR1999775	ERR1999776	ERR1999777	ERR1999778	ERR1999779	ERR1999780	ERR1999781	ERR1999782	ERR1999783	ERR1999784	ERR1999785	ERR1999786	ERR1999787	ERR1999788	ERR1999789	ERR1999790	ERR1999791	ERR1999792	ERR1999793	ERR1999794	ERR1999795	ERR1999796	ERR1999797	ERR1999798	ERR1999799	ERR1999800	ERR1999801	ERR1999802	ERR1999803	ERR1999804	ERR1999805	ERR1999806	ERR1999807	ERR1999808	ERR1999809	ERR1999810	ERR1999811	ERR1999812	ERR1999813	ERR1999814	ERR1999815	ERR1999816	ERR1999817	ERR1999818	ERR1999819	ERR1999820	ERR1999821	ERR1999822	ERR1999823	ERR1999824	ERR1999825	ERR1999826	ERR1999827	ERR1999828	ERR1999829	ERR1999830	ERR1999831	ERR1999832	ERR1999833	ERR1999834	ERR1999835	ERR1999836	ERR1999837	ERR1999838	ERR1999839	ERR1999840	ERR1999841	ERR1999842	ERR1999843	ERR1999844
ko:K20037	NA	36.35609	37.01803	6.09182	1.87427	4.85096	69.08884	66.90643	41.66238	6.58354	2.01816	13.03208	32.22514	5.80747	4.01775	17.31438	7.73955	18.09294	7.98408	7.31723	12.42683	12.13307	28.6339	8.60334	6.63834	4.83735	5.66802	6.71884	5.02436	9.44303	9.25353	66.37727	76.71117	16.23469	17.2473	4.00838	16.28814	5.00267	2.58037	3.62946	7.92869	13.99232	6.55586	13.26217	10.83404	28.95792	11.1599	7.73755	15.80347	24.74561	4.02723	19.04112	13.09968	20.23632	6.67221	0.27399	3.59061	12.00971	0.70699	2.65562	6.10452	1.43451	13.48933	41.7855	16.52368	6.47648	42.53936	10.14714	6.20015	28.42296	19.3967	3.44932	43.25204	22.46933	5.47311	9.94472	13.53958	18.13701	20.97723
ko:K20038	1.93948	1032.97179	882.4677	239.41135	146.90974	154.84177	1312.78858	1012.72485	1033.7859	1128.10387	192.26527	240.42571	342.47453	144.02708	53.80858	403.90966	348.81986	383.5517	177.44855	183.19316	207.2234	237.32142	635.06828	245.28093	146.85096	240.5043	249.71375	148.20201	141.31153	146.33817	100.47441	699.44607	703.69929	411.13383	336.3915	160.99376	463.40461	253.57049	159.06336	93.75893	326.63841	480.33935	315.96273	333.17692	232.36863	336.63322	97.05105	136.619	232.19269	276.16568	56.00096	220.46498	361.77458	575.98546	206.52027	800.49217	116.83117	370.83855	351.6317	177.10964	251.35809	65.08079	206.14387	409.35914	273.99166	82.01656	836.0684	229.46177	133.38722	290.77395	151.17528	69.75166	816.4791	525.35491	211.45955	152.29409	238.09446	274.73562	263.55734
ko:K20040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.10846	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.04465	NA	NA	0.17274	1.84767	0.52548	1.21875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.21909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.71418	NA	NA	NA	2.21617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ko:K20045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.12068	5.84622	2.43421	0.6052	1.79768	NA	NA	NA	2.2299	1.40935	1.22663	3.11837	NA	NA	NA	NA	0.47253	0.47389	0.47602	0.70323	4.06347	0.2377	1.18265	0.70765	NA	NA	NA	NA	NA	NA	NA	NA	1.56606	2.72805	NA	NA	0.26324	NA	8.11299	NA	0.2565	NA	NA	0.25641	NA	NA	NA	NA	NA	NA	0.23821	2.20218	NA	NA	NA	NA	NA	NA	3.56282	NA	NA	NA	NA	NA	NA	NA	NA	NA
ko:K20046	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.35363	0.18083	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.37733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.78501	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.36936	NA	NA	NA	NA	NA	0.92229	NA	NA	NA	NA	NA	NA	NA	NA	NA
ko:K20047	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7756	NA	0.53583	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.549	0.54008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ko:K20048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.64455	NA	NA	NA	NA	NA	NA	0.66894	NA	NA	1.31635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.18584	NA	1.17936	NA	NA	0.67619	NA	NA	NA	1.25771	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ko:K20051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.54865	5.12879	0.73121	1.0532	3.26439	0.37334	0.55813	NA	NA	0.44629	1.46256	3.21925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3703	NA	0.18474	NA	0.67266	0.74995	1.51768	NA	NA	1.41934	NA	0.78662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.18841	0.46378	NA	NA	NA	NA	NA	NA	NA	NA	NA
ko:K20068	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.01595	NA	NA	0.97885	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.92883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ko:K20069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.47361	3.77659	2.40722	1.28148	NA	NA	NA	NA	1.16488	NA	0.59217	3.28334	NA	NA	NA	NA	1.23624	NA	0.52187	1.22652	10.62032	6.21858	1.13616	3.07983	NA	NA	NA	NA	NA	NA	NA	NA	0.84326	0.68654	NA	NA	3.23826	NA	3.93596	0.56934	NA	NA	0.54754	0.83223	NA	NA	NA	NA	0.63387	NA	0.62322	1.91686	0.67652	NA	NA	NA	NA	NA	1.66722	NA	NA	NA	NA	NA	NA	NA	NA	NA
